save_dir            : ./work_dirs/rank/PiT/cifar100/base
gt_path             : ./gt_results/gt_pit.pth
refer_cfg           : configs/auto/pit/pit-ti_c100_base.yaml
other_zc            : er
ds                  : cifar100
acc_type            : base
Build er ....
The 0-th PiT arch:, er score: 300.60193967819214
The 1-th PiT arch:, er score: 344.91401720046997
The 2-th PiT arch:, er score: 327.1928062438965
The 3-th PiT arch:, er score: 201.56966185569763
The 4-th PiT arch:, er score: 283.85899019241333
The 5-th PiT arch:, er score: 340.14318799972534
The 6-th PiT arch:, er score: 491.70135629177094
The 7-th PiT arch:, er score: 346.43924129009247
The 8-th PiT arch:, er score: 783.7637979984283
The 9-th PiT arch:, er score: 282.54328632354736
The 10-th PiT arch:, er score: 470.57599699497223
The 11-th PiT arch:, er score: 344.6560091972351
The 12-th PiT arch:, er score: 298.88080191612244
The 13-th PiT arch:, er score: 332.66433680057526
The 14-th PiT arch:, er score: 338.00557112693787
The 15-th PiT arch:, er score: 260.08805561065674
The 16-th PiT arch:, er score: 395.5097932815552
The 17-th PiT arch:, er score: 282.9585008621216
The 18-th PiT arch:, er score: 424.94628715515137
The 19-th PiT arch:, er score: 387.3853831291199
The 20-th PiT arch:, er score: 517.433408498764
The 21-th PiT arch:, er score: 619.137434720993
The 22-th PiT arch:, er score: 529.7843627929688
The 23-th PiT arch:, er score: 567.5342954397202
The 24-th PiT arch:, er score: 543.7911063432693
The 25-th PiT arch:, er score: 404.2234547138214
The 26-th PiT arch:, er score: 359.21769094467163
The 27-th PiT arch:, er score: 441.18521773815155
The 28-th PiT arch:, er score: 409.64655208587646
The 29-th PiT arch:, er score: 194.11665034294128
The 30-th PiT arch:, er score: 273.36979615688324
The 31-th PiT arch:, er score: 196.5055171251297
The 32-th PiT arch:, er score: 490.83277893066406
The 33-th PiT arch:, er score: 463.1686259508133
The 34-th PiT arch:, er score: 599.9025555849075
The 35-th PiT arch:, er score: 434.030503988266
The 36-th PiT arch:, er score: 225.71319007873535
The 37-th PiT arch:, er score: 254.05403780937195
The 38-th PiT arch:, er score: 417.4597153663635
The 39-th PiT arch:, er score: 273.66543984413147
The 40-th PiT arch:, er score: 208.66923570632935
The 41-th PiT arch:, er score: 540.7822029590607
The 42-th PiT arch:, er score: 599.0763939619064
The 43-th PiT arch:, er score: 615.6258563995361
The 44-th PiT arch:, er score: 472.77926325798035
The 45-th PiT arch:, er score: 391.8502459526062
The 46-th PiT arch:, er score: 666.9699428081512
The 47-th PiT arch:, er score: 276.4439215660095
The 48-th PiT arch:, er score: 334.71008682250977
The 49-th PiT arch:, er score: 479.10766983032227
The 50-th PiT arch:, er score: 347.82638812065125
The 51-th PiT arch:, er score: 353.7268534898758
The 52-th PiT arch:, er score: 355.84909439086914
The 53-th PiT arch:, er score: 566.0992048978806
The 54-th PiT arch:, er score: 548.7310848236084
The 55-th PiT arch:, er score: 588.9262192249298
The 56-th PiT arch:, er score: 253.1120843887329
The 57-th PiT arch:, er score: 381.0844831466675
The 58-th PiT arch:, er score: 636.8550312519073
The 59-th PiT arch:, er score: 203.99167490005493
