save_dir            : ./work_dirs/rank/PiT/cifar100/base
gt_path             : ./gt_results/gt_pit.pth
refer_cfg           : configs/auto/pit/pit-ti_c100_base.yaml
other_zc            : er
ds                  : cifar100
acc_type            : base
Build er ....
The 0-th PiT arch:, er score: 288.6508572101593
The 1-th PiT arch:, er score: 379.2760190963745
The 2-th PiT arch:, er score: 332.5463125705719
The 3-th PiT arch:, er score: 198.21966087818146
The 4-th PiT arch:, er score: 280.4053330421448
The 5-th PiT arch:, er score: 346.0042634010315
The 6-th PiT arch:, er score: 479.93310248851776
The 7-th PiT arch:, er score: 354.1084237098694
The 8-th PiT arch:, er score: 767.1545363664627
The 9-th PiT arch:, er score: 279.05783247947693
The 10-th PiT arch:, er score: 476.86365926265717
The 11-th PiT arch:, er score: 343.1902847290039
The 12-th PiT arch:, er score: 280.97387433052063
The 13-th PiT arch:, er score: 336.34183394908905
The 14-th PiT arch:, er score: 339.46501541137695
The 15-th PiT arch:, er score: 252.09186363220215
The 16-th PiT arch:, er score: 392.48402070999146
The 17-th PiT arch:, er score: 267.8500769138336
The 18-th PiT arch:, er score: 435.1908288002014
The 19-th PiT arch:, er score: 378.818026304245
The 20-th PiT arch:, er score: 504.5886558294296
The 21-th PiT arch:, er score: 615.4493103027344
The 22-th PiT arch:, er score: 545.3324520587921
The 23-th PiT arch:, er score: 603.5691149234772
The 24-th PiT arch:, er score: 535.6059883832932
The 25-th PiT arch:, er score: 391.6162519454956
The 26-th PiT arch:, er score: 359.1560550928116
The 27-th PiT arch:, er score: 431.23004841804504
The 28-th PiT arch:, er score: 420.90072107315063
The 29-th PiT arch:, er score: 200.67987775802612
The 30-th PiT arch:, er score: 268.3916472196579
The 31-th PiT arch:, er score: 196.88389980793
The 32-th PiT arch:, er score: 506.26102781295776
The 33-th PiT arch:, er score: 455.90961039066315
The 34-th PiT arch:, er score: 605.3994109630585
The 35-th PiT arch:, er score: 437.5206973552704
The 36-th PiT arch:, er score: 221.7990689277649
The 37-th PiT arch:, er score: 253.4888858795166
The 38-th PiT arch:, er score: 418.55737352371216
The 39-th PiT arch:, er score: 271.9819802045822
The 40-th PiT arch:, er score: 203.09853839874268
The 41-th PiT arch:, er score: 540.1278340816498
The 42-th PiT arch:, er score: 594.7560749053955
The 43-th PiT arch:, er score: 616.9303953647614
The 44-th PiT arch:, er score: 470.2207362651825
The 45-th PiT arch:, er score: 388.2030076980591
The 46-th PiT arch:, er score: 694.5609185695648
The 47-th PiT arch:, er score: 276.1128718852997
The 48-th PiT arch:, er score: 327.3702139854431
The 49-th PiT arch:, er score: 494.5732800960541
The 50-th PiT arch:, er score: 345.3247489929199
The 51-th PiT arch:, er score: 335.8582992553711
The 52-th PiT arch:, er score: 355.2729411125183
The 53-th PiT arch:, er score: 575.1518120765686
The 54-th PiT arch:, er score: 545.539636850357
The 55-th PiT arch:, er score: 629.1614263057709
The 56-th PiT arch:, er score: 250.57396125793457
The 57-th PiT arch:, er score: 382.7309763431549
The 58-th PiT arch:, er score: 640.2847480773926
The 59-th PiT arch:, er score: 192.46800661087036
The 60-th PiT arch:, er score: 269.90435242652893
The 61-th PiT arch:, er score: 389.25708413124084
The 62-th PiT arch:, er score: 654.178359746933
The 63-th PiT arch:, er score: 382.220751285553
The 64-th PiT arch:, er score: 276.55432188510895
The 65-th PiT arch:, er score: 629.5597852468491
The 66-th PiT arch:, er score: 461.9727392196655
The 67-th PiT arch:, er score: 529.4799678325653
The 68-th PiT arch:, er score: 261.4453592300415
The 69-th PiT arch:, er score: 687.635514497757
The 70-th PiT arch:, er score: 433.8723587989807
The 71-th PiT arch:, er score: 438.6263575553894
The 72-th PiT arch:, er score: 491.53841042518616
The 73-th PiT arch:, er score: 777.6350955963135
The 74-th PiT arch:, er score: 341.44013595581055
The 75-th PiT arch:, er score: 335.44042778015137
The 76-th PiT arch:, er score: 608.6239212751389
The 77-th PiT arch:, er score: 165.43016910552979
The 78-th PiT arch:, er score: 691.3620920181274
The 79-th PiT arch:, er score: 387.6878196001053
The 80-th PiT arch:, er score: 387.80855894088745
The 81-th PiT arch:, er score: 664.3295036554337
The 82-th PiT arch:, er score: 280.72925567626953
The 83-th PiT arch:, er score: 466.7892436981201
The 84-th PiT arch:, er score: 476.6247818470001
The 85-th PiT arch:, er score: 520.2728590965271
The 86-th PiT arch:, er score: 261.0196018218994
The 87-th PiT arch:, er score: 406.77071464061737
The 88-th PiT arch:, er score: 240.67918848991394
The 89-th PiT arch:, er score: 249.82764220237732
The 90-th PiT arch:, er score: 254.65031147003174
The 91-th PiT arch:, er score: 266.31314039230347
The 92-th PiT arch:, er score: 399.59800231456757
The 93-th PiT arch:, er score: 538.2078349590302
The 94-th PiT arch:, er score: 416.7656178474426
The 95-th PiT arch:, er score: 893.6798090934753
The 96-th PiT arch:, er score: 425.1312334537506
The 97-th PiT arch:, er score: 714.6226563453674
The 98-th PiT arch:, er score: 415.00012278556824
The 99-th PiT arch:, er score: 398.19920659065247
Rank consistency on dataset cifar100: kendall: 0.5580596973195476, spearman: 0.767758292289996, pearson: 0.5791984648313528
Finished, time cost: 0.12617391460471683 hour.
