save_dir            : ./work_dirs/rank/PiT/cifar100/base
gt_path             : ./gt_results/gt_pit.pth
refer_cfg           : configs/auto/pit/pit-ti_c100_base.yaml
other_zc            : er
ds                  : cifar100
acc_type            : base
Build er ....
The 0-th PiT arch:, er score: 104.51978540420532
The 1-th PiT arch:, er score: 56.344011545181274
The 2-th PiT arch:, er score: 136.2898164987564
The 3-th PiT arch:, er score: 111.9770679473877
The 4-th PiT arch:, er score: 99.75269293785095
The 5-th PiT arch:, er score: 152.56618309020996
The 6-th PiT arch:, er score: 181.9345257282257
The 7-th PiT arch:, er score: 126.39665603637695
The 8-th PiT arch:, er score: 365.96641767024994
The 9-th PiT arch:, er score: 95.35283529758453
The 10-th PiT arch:, er score: 89.60801005363464
The 11-th PiT arch:, er score: 124.54170835018158
The 12-th PiT arch:, er score: 139.06539916992188
The 13-th PiT arch:, er score: 148.0396785736084
The 14-th PiT arch:, er score: 100.1140912771225
The 15-th PiT arch:, er score: 116.40504276752472
The 16-th PiT arch:, er score: 105.09593689441681
The 17-th PiT arch:, er score: 78.3882532119751
The 18-th PiT arch:, er score: 120.62729394435883
The 19-th PiT arch:, er score: 142.11614775657654
The 20-th PiT arch:, er score: 161.63138377666473
The 21-th PiT arch:, er score: 221.49189817905426
The 22-th PiT arch:, er score: 171.3820365667343
The 23-th PiT arch:, er score: 263.75447618961334
The 24-th PiT arch:, er score: 239.02966022491455
The 25-th PiT arch:, er score: 58.06790089607239
The 26-th PiT arch:, er score: 154.1867288351059
The 27-th PiT arch:, er score: 131.3149834871292
The 28-th PiT arch:, er score: 137.55864715576172
The 29-th PiT arch:, er score: 108.00479221343994
The 30-th PiT arch:, er score: 122.2763500213623
The 31-th PiT arch:, er score: 118.63719618320465
The 32-th PiT arch:, er score: 185.02509188652039
The 33-th PiT arch:, er score: 123.78065514564514
The 34-th PiT arch:, er score: 244.07437705993652
The 35-th PiT arch:, er score: 185.60662460327148
The 36-th PiT arch:, er score: 120.49000716209412
The 37-th PiT arch:, er score: 82.22346329689026
The 38-th PiT arch:, er score: 136.9063342809677
The 39-th PiT arch:, er score: 119.78359162807465
The 40-th PiT arch:, er score: 92.43979752063751
The 41-th PiT arch:, er score: 212.29123973846436
The 42-th PiT arch:, er score: 258.6282616853714
The 43-th PiT arch:, er score: 213.43485641479492
The 44-th PiT arch:, er score: 169.8405840396881
The 45-th PiT arch:, er score: 146.70441806316376
The 46-th PiT arch:, er score: 210.54990780353546
The 47-th PiT arch:, er score: 120.60861837863922
The 48-th PiT arch:, er score: 149.68632853031158
The 49-th PiT arch:, er score: 120.90966856479645
The 50-th PiT arch:, er score: 76.57945597171783
The 51-th PiT arch:, er score: 89.23620784282684
The 52-th PiT arch:, er score: 133.9281953573227
The 53-th PiT arch:, er score: 179.47890949249268
The 54-th PiT arch:, er score: 149.82835733890533
The 55-th PiT arch:, er score: 159.56267428398132
The 56-th PiT arch:, er score: 120.69422149658203
The 57-th PiT arch:, er score: 128.38170504570007
The 58-th PiT arch:, er score: 156.37905871868134
The 59-th PiT arch:, er score: 109.34675884246826
The 60-th PiT arch:, er score: 95.77571666240692
The 61-th PiT arch:, er score: 167.37609481811523
The 62-th PiT arch:, er score: 294.51395857334137
The 63-th PiT arch:, er score: 154.8250138759613
The 64-th PiT arch:, er score: 108.80390501022339
The 65-th PiT arch:, er score: 300.4565552473068
The 66-th PiT arch:, er score: 106.9049905538559
The 67-th PiT arch:, er score: 140.13822424411774
The 68-th PiT arch:, er score: 91.74737071990967
The 69-th PiT arch:, er score: 256.53550148010254
The 70-th PiT arch:, er score: 79.57435548305511
The 71-th PiT arch:, er score: 182.63668358325958
The 72-th PiT arch:, er score: 155.56970262527466
The 73-th PiT arch:, er score: 213.38168227672577
The 74-th PiT arch:, er score: 91.5791517496109
The 75-th PiT arch:, er score: 153.0683776140213
The 76-th PiT arch:, er score: 287.8534641265869
The 77-th PiT arch:, er score: 97.32210803031921
The 78-th PiT arch:, er score: 214.2052640914917
The 79-th PiT arch:, er score: 192.04374182224274
The 80-th PiT arch:, er score: 164.03543639183044
The 81-th PiT arch:, er score: 201.44552719593048
The 82-th PiT arch:, er score: 91.75817966461182
The 83-th PiT arch:, er score: 158.15674591064453
The 84-th PiT arch:, er score: 123.7458004951477
The 85-th PiT arch:, er score: 179.56243753433228
The 86-th PiT arch:, er score: 101.36284589767456
The 87-th PiT arch:, er score: 118.94257414340973
The 88-th PiT arch:, er score: 99.59312772750854
The 89-th PiT arch:, er score: 128.0173910856247
The 90-th PiT arch:, er score: 133.628178358078
The 91-th PiT arch:, er score: 124.13299143314362
The 92-th PiT arch:, er score: 92.28991436958313
The 93-th PiT arch:, er score: 232.28303456306458
The 94-th PiT arch:, er score: 141.25831651687622
The 95-th PiT arch:, er score: 297.7859786748886
The 96-th PiT arch:, er score: 117.02372574806213
The 97-th PiT arch:, er score: 245.5000182390213
The 98-th PiT arch:, er score: 178.24633598327637
The 99-th PiT arch:, er score: 151.38334357738495
Rank consistency on dataset cifar100: kendall: 0.35836285525083594, spearman: 0.5069863034819428, pearson: 0.3708937132605372
Finished, time cost: 0.07694471617539723 hour.
