save_dir            : ./work_dirs/rank/AutoFormerSub_base
gt_path             : ./gt_results/gt_autoformer.pth
refer_cfg           : ./configs/auto/autoformer/autoformer-ti-subnet_flowers_base.yaml
other_zc            : er
ds                  : flowers
Build er ....
The 0-th AutoFormerSub arch:, er score: 1224.5101318359375
The 1-th AutoFormerSub arch:, er score: 1514.8666229248047
The 2-th AutoFormerSub arch:, er score: 1416.537208557129
The 3-th AutoFormerSub arch:, er score: 1469.3840255737305
The 4-th AutoFormerSub arch:, er score: 1308.872200012207
The 5-th AutoFormerSub arch:, er score: 1418.743179321289
The 6-th AutoFormerSub arch:, er score: 1412.1650009155273
The 7-th AutoFormerSub arch:, er score: 1374.3110885620117
The 8-th AutoFormerSub arch:, er score: 1223.5311279296875
The 9-th AutoFormerSub arch:, er score: 1521.2919845581055
The 10-th AutoFormerSub arch:, er score: 1418.5160293579102
The 11-th AutoFormerSub arch:, er score: 1224.3234939575195
The 12-th AutoFormerSub arch:, er score: 1219.6323013305664
The 13-th AutoFormerSub arch:, er score: 1315.694091796875
The 14-th AutoFormerSub arch:, er score: 1420.436164855957
The 15-th AutoFormerSub arch:, er score: 1524.4333953857422
The 16-th AutoFormerSub arch:, er score: 1271.7465286254883
The 17-th AutoFormerSub arch:, er score: 1518.2350387573242
The 18-th AutoFormerSub arch:, er score: 1314.0306015014648
The 19-th AutoFormerSub arch:, er score: 1465.7621536254883
The 20-th AutoFormerSub arch:, er score: 1367.8117370605469
The 21-th AutoFormerSub arch:, er score: 1418.6286163330078
The 22-th AutoFormerSub arch:, er score: 1274.775634765625
The 23-th AutoFormerSub arch:, er score: 1470.9079666137695
The 24-th AutoFormerSub arch:, er score: 1321.3617782592773
The 25-th AutoFormerSub arch:, er score: 1415.376953125
The 26-th AutoFormerSub arch:, er score: 1416.099021911621
The 27-th AutoFormerSub arch:, er score: 1323.103889465332
The 28-th AutoFormerSub arch:, er score: 1315.0977401733398
The 29-th AutoFormerSub arch:, er score: 1314.0938339233398
The 30-th AutoFormerSub arch:, er score: 1372.2142028808594
The 31-th AutoFormerSub arch:, er score: 1466.094467163086
The 32-th AutoFormerSub arch:, er score: 1323.1800003051758
The 33-th AutoFormerSub arch:, er score: 1412.3996200561523
The 34-th AutoFormerSub arch:, er score: 1221.986068725586
The 35-th AutoFormerSub arch:, er score: 1310.8914260864258
The 36-th AutoFormerSub arch:, er score: 1516.467788696289
The 37-th AutoFormerSub arch:, er score: 1420.1103210449219
The 38-th AutoFormerSub arch:, er score: 1413.2384796142578
The 39-th AutoFormerSub arch:, er score: 1315.2228469848633
The 40-th AutoFormerSub arch:, er score: 1269.0568466186523
The 41-th AutoFormerSub arch:, er score: 1273.620979309082
The 42-th AutoFormerSub arch:, er score: 1314.9772186279297
The 43-th AutoFormerSub arch:, er score: 1466.738998413086
The 44-th AutoFormerSub arch:, er score: 1517.010269165039
The 45-th AutoFormerSub arch:, er score: 1505.7231903076172
The 46-th AutoFormerSub arch:, er score: 1371.853759765625
The 47-th AutoFormerSub arch:, er score: 1322.3830108642578
The 48-th AutoFormerSub arch:, er score: 1419.026123046875
The 49-th AutoFormerSub arch:, er score: 1511.184440612793
The 50-th AutoFormerSub arch:, er score: 1418.1714324951172
The 51-th AutoFormerSub arch:, er score: 1466.4187850952148
The 52-th AutoFormerSub arch:, er score: 1316.8760604858398
The 53-th AutoFormerSub arch:, er score: 1370.2291107177734
The 54-th AutoFormerSub arch:, er score: 1414.034278869629
The 55-th AutoFormerSub arch:, er score: 1469.3918380737305
The 56-th AutoFormerSub arch:, er score: 1513.2692565917969
The 57-th AutoFormerSub arch:, er score: 1309.9973373413086
The 58-th AutoFormerSub arch:, er score: 1415.4033889770508
The 59-th AutoFormerSub arch:, er score: 1421.0397720336914
The 60-th AutoFormerSub arch:, er score: 1464.5154876708984
The 61-th AutoFormerSub arch:, er score: 1474.0838165283203
The 62-th AutoFormerSub arch:, er score: 1517.8416137695312
The 63-th AutoFormerSub arch:, er score: 1520.0268325805664
