save_dir            : ./work_dirs/rank/AutoFormerSub_base
gt_path             : ./gt_results/gt_autoformer.pth
refer_cfg           : ./configs/auto/autoformer/autoformer-ti-subnet_chaoyang_base.yaml
other_zc            : er
ds                  : chaoyang
Build er ....
The 0-th AutoFormerSub arch:, er score: 1221.5758819580078
The 1-th AutoFormerSub arch:, er score: 1513.8695755004883
The 2-th AutoFormerSub arch:, er score: 1416.1351699829102
The 3-th AutoFormerSub arch:, er score: 1472.3976211547852
The 4-th AutoFormerSub arch:, er score: 1314.3347854614258
The 5-th AutoFormerSub arch:, er score: 1415.500747680664
The 6-th AutoFormerSub arch:, er score: 1411.723129272461
The 7-th AutoFormerSub arch:, er score: 1374.0387802124023
The 8-th AutoFormerSub arch:, er score: 1224.2706451416016
The 9-th AutoFormerSub arch:, er score: 1516.5519714355469
The 10-th AutoFormerSub arch:, er score: 1415.7466506958008
The 11-th AutoFormerSub arch:, er score: 1220.9394226074219
The 12-th AutoFormerSub arch:, er score: 1223.3390350341797
The 13-th AutoFormerSub arch:, er score: 1317.2231063842773
The 14-th AutoFormerSub arch:, er score: 1414.2348403930664
The 15-th AutoFormerSub arch:, er score: 1519.8967742919922
The 16-th AutoFormerSub arch:, er score: 1273.783576965332
The 17-th AutoFormerSub arch:, er score: 1523.1516876220703
The 18-th AutoFormerSub arch:, er score: 1315.0422286987305
The 19-th AutoFormerSub arch:, er score: 1473.5993957519531
The 20-th AutoFormerSub arch:, er score: 1376.3241500854492
The 21-th AutoFormerSub arch:, er score: 1416.0973281860352
The 22-th AutoFormerSub arch:, er score: 1269.6046524047852
The 23-th AutoFormerSub arch:, er score: 1467.4077758789062
The 24-th AutoFormerSub arch:, er score: 1316.9963073730469
The 25-th AutoFormerSub arch:, er score: 1412.7517700195312
The 26-th AutoFormerSub arch:, er score: 1412.2025833129883
The 27-th AutoFormerSub arch:, er score: 1321.4806747436523
The 28-th AutoFormerSub arch:, er score: 1318.4875259399414
The 29-th AutoFormerSub arch:, er score: 1310.9504623413086
The 30-th AutoFormerSub arch:, er score: 1369.403205871582
