save_dir            : ./work_dirs/rank/AutoFormerSub_base
gt_path             : ./gt_results/gt_autoformer.pth
refer_cfg           : ./configs/auto/autoformer/autoformer-ti-subnet_c100_base.yaml
other_zc            : er
ds                  : cifar100
Build er ....
The 0-th AutoFormerSub arch:, er score: 1223.0072937011719
The 1-th AutoFormerSub arch:, er score: 1514.3426895141602
The 2-th AutoFormerSub arch:, er score: 1412.7980575561523
The 3-th AutoFormerSub arch:, er score: 1468.342758178711
The 4-th AutoFormerSub arch:, er score: 1310.550636291504
The 5-th AutoFormerSub arch:, er score: 1416.859390258789
The 6-th AutoFormerSub arch:, er score: 1415.4641571044922
The 7-th AutoFormerSub arch:, er score: 1372.932991027832
The 8-th AutoFormerSub arch:, er score: 1222.895980834961
The 9-th AutoFormerSub arch:, er score: 1520.481575012207
The 10-th AutoFormerSub arch:, er score: 1412.7554779052734
The 11-th AutoFormerSub arch:, er score: 1221.6401901245117
The 12-th AutoFormerSub arch:, er score: 1219.8201293945312
The 13-th AutoFormerSub arch:, er score: 1316.7638931274414
The 14-th AutoFormerSub arch:, er score: 1421.4358367919922
The 15-th AutoFormerSub arch:, er score: 1521.2968978881836
The 16-th AutoFormerSub arch:, er score: 1270.9009246826172
The 17-th AutoFormerSub arch:, er score: 1524.1285705566406
The 18-th AutoFormerSub arch:, er score: 1311.8591690063477
The 19-th AutoFormerSub arch:, er score: 1473.188835144043
The 20-th AutoFormerSub arch:, er score: 1372.9076614379883
The 21-th AutoFormerSub arch:, er score: 1417.455711364746
The 22-th AutoFormerSub arch:, er score: 1270.7086029052734
The 23-th AutoFormerSub arch:, er score: 1472.1915969848633
The 24-th AutoFormerSub arch:, er score: 1321.6428298950195
The 25-th AutoFormerSub arch:, er score: 1411.9187469482422
The 26-th AutoFormerSub arch:, er score: 1412.854118347168
The 27-th AutoFormerSub arch:, er score: 1319.5864715576172
The 28-th AutoFormerSub arch:, er score: 1319.6418228149414
The 29-th AutoFormerSub arch:, er score: 1315.0565032958984
The 30-th AutoFormerSub arch:, er score: 1372.5264434814453
The 31-th AutoFormerSub arch:, er score: 1464.7893600463867
The 32-th AutoFormerSub arch:, er score: 1323.6687698364258
The 33-th AutoFormerSub arch:, er score: 1413.0894165039062
The 34-th AutoFormerSub arch:, er score: 1222.8396224975586
The 35-th AutoFormerSub arch:, er score: 1308.4854736328125
The 36-th AutoFormerSub arch:, er score: 1518.723403930664
The 37-th AutoFormerSub arch:, er score: 1414.3244018554688
The 38-th AutoFormerSub arch:, er score: 1417.2184143066406
The 39-th AutoFormerSub arch:, er score: 1309.5891418457031
The 40-th AutoFormerSub arch:, er score: 1272.025260925293
The 41-th AutoFormerSub arch:, er score: 1274.2914352416992
The 42-th AutoFormerSub arch:, er score: 1314.0955810546875
The 43-th AutoFormerSub arch:, er score: 1465.1208190917969
The 44-th AutoFormerSub arch:, er score: 1512.2423095703125
The 45-th AutoFormerSub arch:, er score: 1517.033432006836
The 46-th AutoFormerSub arch:, er score: 1372.658546447754
The 47-th AutoFormerSub arch:, er score: 1321.3616104125977
The 48-th AutoFormerSub arch:, er score: 1415.3724975585938
The 49-th AutoFormerSub arch:, er score: 1512.5798034667969
The 50-th AutoFormerSub arch:, er score: 1417.6295928955078
The 51-th AutoFormerSub arch:, er score: 1467.6994857788086
The 52-th AutoFormerSub arch:, er score: 1315.905632019043
The 53-th AutoFormerSub arch:, er score: 1367.3046340942383
The 54-th AutoFormerSub arch:, er score: 1413.3242492675781
The 55-th AutoFormerSub arch:, er score: 1469.6474151611328
The 56-th AutoFormerSub arch:, er score: 1514.3758010864258
The 57-th AutoFormerSub arch:, er score: 1309.978500366211
The 58-th AutoFormerSub arch:, er score: 1416.4605331420898
The 59-th AutoFormerSub arch:, er score: 1419.6185607910156
The 60-th AutoFormerSub arch:, er score: 1471.3337707519531
The 61-th AutoFormerSub arch:, er score: 1466.5145263671875
The 62-th AutoFormerSub arch:, er score: 1519.7670516967773
The 63-th AutoFormerSub arch:, er score: 1521.6733627319336
The 64-th AutoFormerSub arch:, er score: 1319.3325805664062
The 65-th AutoFormerSub arch:, er score: 1414.712547302246
The 66-th AutoFormerSub arch:, er score: 1319.2162399291992
The 67-th AutoFormerSub arch:, er score: 1412.3795013427734
The 68-th AutoFormerSub arch:, er score: 1274.2400131225586
The 69-th AutoFormerSub arch:, er score: 1318.5147399902344
The 70-th AutoFormerSub arch:, er score: 1412.7259979248047
The 71-th AutoFormerSub arch:, er score: 1413.9621200561523
The 72-th AutoFormerSub arch:, er score: 1470.7443771362305
The 73-th AutoFormerSub arch:, er score: 1221.3713073730469
The 74-th AutoFormerSub arch:, er score: 1372.1634826660156
The 75-th AutoFormerSub arch:, er score: 1413.4174270629883
The 76-th AutoFormerSub arch:, er score: 1467.4939804077148
The 77-th AutoFormerSub arch:, er score: 1314.3806533813477
The 78-th AutoFormerSub arch:, er score: 1321.552230834961
The 79-th AutoFormerSub arch:, er score: 1318.1077499389648
The 80-th AutoFormerSub arch:, er score: 1466.1065063476562
The 81-th AutoFormerSub arch:, er score: 1324.071907043457
The 82-th AutoFormerSub arch:, er score: 1511.2184982299805
The 83-th AutoFormerSub arch:, er score: 1418.6522750854492
The 84-th AutoFormerSub arch:, er score: 1224.960792541504
The 85-th AutoFormerSub arch:, er score: 1465.4581604003906
The 86-th AutoFormerSub arch:, er score: 1516.4270248413086
The 87-th AutoFormerSub arch:, er score: 1321.9058303833008
The 88-th AutoFormerSub arch:, er score: 1417.056037902832
The 89-th AutoFormerSub arch:, er score: 1467.4781494140625
The 90-th AutoFormerSub arch:, er score: 1318.113670349121
The 91-th AutoFormerSub arch:, er score: 1515.478744506836
The 92-th AutoFormerSub arch:, er score: 1321.9242324829102
The 93-th AutoFormerSub arch:, er score: 1225.305290222168
The 94-th AutoFormerSub arch:, er score: 1320.750862121582
The 95-th AutoFormerSub arch:, er score: 1417.731071472168
The 96-th AutoFormerSub arch:, er score: 1516.6025924682617
The 97-th AutoFormerSub arch:, er score: 1372.9793853759766
The 98-th AutoFormerSub arch:, er score: 1516.3981170654297
The 99-th AutoFormerSub arch:, er score: 1466.5575256347656
Rank consistency on dataset cifar100: kendall: 0.7228731578881356, spearman: 0.8964625385080259, pearson: 0.8996279572654552
Finished, time cost: 0.1558299312326643 hour.
