save_dir            : ./work_dirs/rank/PiT/chaoyang/base
gt_path             : ./gt_results/gt_pit.pth
refer_cfg           : configs/auto/pit/pit-ti_chaoyang_base.yaml
other_zc            : er
ds                  : chaoyang
acc_type            : base
Build er ....
The 0-th PiT arch:, er score: 296.0311002731323
The 1-th PiT arch:, er score: 344.96336579322815
The 2-th PiT arch:, er score: 315.01717376708984
The 3-th PiT arch:, er score: 204.40392541885376
The 4-th PiT arch:, er score: 286.2343416213989
The 5-th PiT arch:, er score: 347.3838863372803
The 6-th PiT arch:, er score: 487.9223726987839
The 7-th PiT arch:, er score: 356.7572476863861
The 8-th PiT arch:, er score: 775.8486182689667
The 9-th PiT arch:, er score: 283.01429271698
The 10-th PiT arch:, er score: 477.9407368898392
The 11-th PiT arch:, er score: 346.3566370010376
The 12-th PiT arch:, er score: 285.4171825647354
The 13-th PiT arch:, er score: 338.2070883512497
The 14-th PiT arch:, er score: 352.1600217819214
The 15-th PiT arch:, er score: 243.7363142967224
The 16-th PiT arch:, er score: 390.0675961971283
The 17-th PiT arch:, er score: 266.9304642677307
The 18-th PiT arch:, er score: 429.65635538101196
The 19-th PiT arch:, er score: 401.6096432209015
The 20-th PiT arch:, er score: 514.7161769866943
The 21-th PiT arch:, er score: 610.8926677703857
The 22-th PiT arch:, er score: 540.6671879291534
The 23-th PiT arch:, er score: 561.6498855352402
The 24-th PiT arch:, er score: 536.5556547641754
The 25-th PiT arch:, er score: 409.1555206775665
The 26-th PiT arch:, er score: 349.12857723236084
The 27-th PiT arch:, er score: 420.6411017179489
The 28-th PiT arch:, er score: 410.3765158653259
The 29-th PiT arch:, er score: 191.35972547531128
The 30-th PiT arch:, er score: 274.83045077323914
The 31-th PiT arch:, er score: 202.5818235874176
The 32-th PiT arch:, er score: 502.83752048015594
The 33-th PiT arch:, er score: 460.8030813932419
The 34-th PiT arch:, er score: 604.6207854747772
The 35-th PiT arch:, er score: 431.43006229400635
The 36-th PiT arch:, er score: 229.9487532377243
The 37-th PiT arch:, er score: 256.4347016811371
The 38-th PiT arch:, er score: 413.38195419311523
The 39-th PiT arch:, er score: 275.1419667005539
The 40-th PiT arch:, er score: 206.160147190094
The 41-th PiT arch:, er score: 544.9837505817413
The 42-th PiT arch:, er score: 614.0878154039383
The 43-th PiT arch:, er score: 610.2171955108643
The 44-th PiT arch:, er score: 478.3228611946106
The 45-th PiT arch:, er score: 383.51520562171936
The 46-th PiT arch:, er score: 701.4933979511261
The 47-th PiT arch:, er score: 277.4632762670517
The 48-th PiT arch:, er score: 328.08091282844543
The 49-th PiT arch:, er score: 481.0409562587738
The 50-th PiT arch:, er score: 346.7028765678406
The 51-th PiT arch:, er score: 346.251323223114
The 52-th PiT arch:, er score: 354.75264167785645
The 53-th PiT arch:, er score: 571.9432873725891
The 54-th PiT arch:, er score: 528.2965025901794
The 55-th PiT arch:, er score: 594.2046184539795
The 56-th PiT arch:, er score: 250.60448503494263
The 57-th PiT arch:, er score: 380.44813537597656
The 58-th PiT arch:, er score: 636.1318356990814
The 59-th PiT arch:, er score: 196.48061299324036
The 60-th PiT arch:, er score: 263.0039575099945
The 61-th PiT arch:, er score: 385.15730810165405
The 62-th PiT arch:, er score: 652.8668892383575
The 63-th PiT arch:, er score: 381.5353308916092
The 64-th PiT arch:, er score: 284.33218693733215
The 65-th PiT arch:, er score: 665.3181025981903
The 66-th PiT arch:, er score: 448.5030573606491
The 67-th PiT arch:, er score: 537.4154496192932
The 68-th PiT arch:, er score: 253.44324707984924
The 69-th PiT arch:, er score: 709.6439297199249
The 70-th PiT arch:, er score: 433.5270047187805
The 71-th PiT arch:, er score: 428.4249691963196
The 72-th PiT arch:, er score: 483.59409964084625
The 73-th PiT arch:, er score: 786.061386346817
The 74-th PiT arch:, er score: 328.9969906806946
The 75-th PiT arch:, er score: 332.28122758865356
The 76-th PiT arch:, er score: 631.6497606039047
The 77-th PiT arch:, er score: 170.10520958900452
The 78-th PiT arch:, er score: 682.8002424240112
The 79-th PiT arch:, er score: 383.9573599100113
The 80-th PiT arch:, er score: 393.0788698196411
The 81-th PiT arch:, er score: 674.3821622133255
The 82-th PiT arch:, er score: 286.7504868507385
The 83-th PiT arch:, er score: 455.5510369539261
The 84-th PiT arch:, er score: 464.7499758005142
The 85-th PiT arch:, er score: 519.9276826381683
The 86-th PiT arch:, er score: 266.11027908325195
The 87-th PiT arch:, er score: 404.02355313301086
The 88-th PiT arch:, er score: 239.55254101753235
The 89-th PiT arch:, er score: 256.22004222869873
The 90-th PiT arch:, er score: 251.95421028137207
The 91-th PiT arch:, er score: 270.3576216697693
The 92-th PiT arch:, er score: 405.3844344615936
The 93-th PiT arch:, er score: 531.5328533649445
The 94-th PiT arch:, er score: 420.6009020805359
The 95-th PiT arch:, er score: 883.04447889328
The 96-th PiT arch:, er score: 425.7168879508972
The 97-th PiT arch:, er score: 723.583592414856
The 98-th PiT arch:, er score: 415.56095492839813
The 99-th PiT arch:, er score: 396.83487725257874
Rank consistency on dataset chaoyang: kendall: 0.6321255725408046, spearman: 0.8266855002397427, pearson: 0.7720554803749163
Finished, time cost: 0.15700476891464657 hour.
