save_dir            : ./work_dirs/rank/PiT/chaoyang/base
gt_path             : ./gt_results/gt_pit.pth
refer_cfg           : configs/auto/pit/pit-ti_chaoyang_base.yaml
other_zc            : er
ds                  : chaoyang
acc_type            : base
Build er ....
The 0-th PiT arch:, er score: 282.28433871269226
The 1-th PiT arch:, er score: 357.07673048973083
The 2-th PiT arch:, er score: 336.6657965183258
The 3-th PiT arch:, er score: 202.88794088363647
The 4-th PiT arch:, er score: 281.9806127548218
The 5-th PiT arch:, er score: 337.9642233848572
The 6-th PiT arch:, er score: 478.16167974472046
The 7-th PiT arch:, er score: 353.00196039676666
The 8-th PiT arch:, er score: 795.8965327739716
The 9-th PiT arch:, er score: 283.1357660293579
The 10-th PiT arch:, er score: 483.67080795764923
The 11-th PiT arch:, er score: 344.9419755935669
The 12-th PiT arch:, er score: 287.2123200893402
The 13-th PiT arch:, er score: 327.97317373752594
The 14-th PiT arch:, er score: 341.67222261428833
The 15-th PiT arch:, er score: 245.73465704917908
The 16-th PiT arch:, er score: 382.3767811059952
The 17-th PiT arch:, er score: 277.4100069999695
The 18-th PiT arch:, er score: 428.86637783050537
The 19-th PiT arch:, er score: 375.8193088769913
The 20-th PiT arch:, er score: 514.043518781662
The 21-th PiT arch:, er score: 614.3732573986053
The 22-th PiT arch:, er score: 544.8701144456863
The 23-th PiT arch:, er score: 575.9892065525055
The 24-th PiT arch:, er score: 537.7742550373077
The 25-th PiT arch:, er score: 394.2685043811798
The 26-th PiT arch:, er score: 360.9870698451996
The 27-th PiT arch:, er score: 445.1904637813568
The 28-th PiT arch:, er score: 413.7365951538086
The 29-th PiT arch:, er score: 175.6242927312851
The 30-th PiT arch:, er score: 272.83562421798706
The 31-th PiT arch:, er score: 201.47708296775818
The 32-th PiT arch:, er score: 489.87787568569183
The 33-th PiT arch:, er score: 463.41082859039307
The 34-th PiT arch:, er score: 611.8412429094315
The 35-th PiT arch:, er score: 430.2072205543518
The 36-th PiT arch:, er score: 223.08401882648468
The 37-th PiT arch:, er score: 260.7449541091919
The 38-th PiT arch:, er score: 423.7631244659424
The 39-th PiT arch:, er score: 272.7697921991348
The 40-th PiT arch:, er score: 200.1622142791748
The 41-th PiT arch:, er score: 536.1140260696411
The 42-th PiT arch:, er score: 580.6631474494934
The 43-th PiT arch:, er score: 609.4649503231049
The 44-th PiT arch:, er score: 467.9926128387451
The 45-th PiT arch:, er score: 394.80084252357483
The 46-th PiT arch:, er score: 722.5362138748169
The 47-th PiT arch:, er score: 274.4383865594864
The 48-th PiT arch:, er score: 331.8928463459015
The 49-th PiT arch:, er score: 476.05191242694855
The 50-th PiT arch:, er score: 345.68394589424133
The 51-th PiT arch:, er score: 332.21474039554596
The 52-th PiT arch:, er score: 358.0785207748413
The 53-th PiT arch:, er score: 581.0778616666794
The 54-th PiT arch:, er score: 542.5260543823242
The 55-th PiT arch:, er score: 594.5882482528687
The 56-th PiT arch:, er score: 257.9445147514343
The 57-th PiT arch:, er score: 377.2143808603287
The 58-th PiT arch:, er score: 641.3990521430969
The 59-th PiT arch:, er score: 195.7318925857544
The 60-th PiT arch:, er score: 266.6226086616516
The 61-th PiT arch:, er score: 372.79148864746094
The 62-th PiT arch:, er score: 666.4328099489212
The 63-th PiT arch:, er score: 381.55021810531616
The 64-th PiT arch:, er score: 274.78252041339874
The 65-th PiT arch:, er score: 625.2966067790985
The 66-th PiT arch:, er score: 432.30831384658813
The 67-th PiT arch:, er score: 529.9639368057251
The 68-th PiT arch:, er score: 252.2359857559204
The 69-th PiT arch:, er score: 684.849408864975
The 70-th PiT arch:, er score: 436.85184240341187
The 71-th PiT arch:, er score: 422.0459557771683
The 72-th PiT arch:, er score: 480.1209969520569
The 73-th PiT arch:, er score: 775.6213371753693
The 74-th PiT arch:, er score: 338.88926696777344
The 75-th PiT arch:, er score: 348.86120104789734
The 76-th PiT arch:, er score: 660.684787273407
The 77-th PiT arch:, er score: 164.68085837364197
The 78-th PiT arch:, er score: 684.0057616233826
The 79-th PiT arch:, er score: 387.83145821094513
The 80-th PiT arch:, er score: 387.0954716205597
The 81-th PiT arch:, er score: 672.0702421665192
The 82-th PiT arch:, er score: 283.41175651550293
The 83-th PiT arch:, er score: 460.0499529838562
The 84-th PiT arch:, er score: 477.2490932941437
The 85-th PiT arch:, er score: 529.5082745552063
The 86-th PiT arch:, er score: 266.84765625
The 87-th PiT arch:, er score: 402.8275204896927
The 88-th PiT arch:, er score: 240.22878646850586
The 89-th PiT arch:, er score: 254.07844424247742
The 90-th PiT arch:, er score: 240.98031044006348
The 91-th PiT arch:, er score: 269.6925837993622
The 92-th PiT arch:, er score: 400.52750039100647
The 93-th PiT arch:, er score: 529.517435669899
The 94-th PiT arch:, er score: 412.22316575050354
The 95-th PiT arch:, er score: 839.1774433851242
The 96-th PiT arch:, er score: 432.7860722541809
The 97-th PiT arch:, er score: 712.1792917251587
The 98-th PiT arch:, er score: 399.7916969060898
The 99-th PiT arch:, er score: 397.85912358760834
Rank consistency on dataset chaoyang: kendall: 0.6248083633409754, spearman: 0.822658070371151, pearson: 0.7642261533476243
Finished, time cost: 0.15124435438050163 hour.
