save_dir            : ./work_dirs/rank/AutoFormerSub/flowers/kd
gt_path             : ./gt_results/gt_autoformer_2.pth
refer_cfg           : ./configs/auto/autoformer/autoformer-ti-subnet_flowers_kd.yaml
other_zc            : er
ds                  : flowers
acc_type            : kd
Build er ....
The 0-th AutoFormerSub arch:, er score: 160.38086318969727
The 1-th AutoFormerSub arch:, er score: 141.38457083702087
The 2-th AutoFormerSub arch:, er score: 142.77797603607178
The 3-th AutoFormerSub arch:, er score: 155.4771945476532
The 4-th AutoFormerSub arch:, er score: 135.55356574058533
The 5-th AutoFormerSub arch:, er score: 150.72486972808838
The 6-th AutoFormerSub arch:, er score: 321.47708320617676
The 7-th AutoFormerSub arch:, er score: 326.1002769470215
The 8-th AutoFormerSub arch:, er score: 141.84587264060974
The 9-th AutoFormerSub arch:, er score: 355.7484140396118
The 10-th AutoFormerSub arch:, er score: 366.7559928894043
The 11-th AutoFormerSub arch:, er score: 362.0791416168213
The 12-th AutoFormerSub arch:, er score: 341.50316047668457
The 13-th AutoFormerSub arch:, er score: 157.852618932724
The 14-th AutoFormerSub arch:, er score: 154.9127869606018
The 15-th AutoFormerSub arch:, er score: 142.2323751449585
The 16-th AutoFormerSub arch:, er score: 150.63577437400818
The 17-th AutoFormerSub arch:, er score: 158.35060048103333
The 18-th AutoFormerSub arch:, er score: 351.85430240631104
The 19-th AutoFormerSub arch:, er score: 369.36724853515625
The 20-th AutoFormerSub arch:, er score: 166.1982936859131
The 21-th AutoFormerSub arch:, er score: 158.50523042678833
The 22-th AutoFormerSub arch:, er score: 377.5082769393921
The 23-th AutoFormerSub arch:, er score: 353.23348331451416
The 24-th AutoFormerSub arch:, er score: 148.92046880722046
The 25-th AutoFormerSub arch:, er score: 358.0226745605469
The 26-th AutoFormerSub arch:, er score: 154.47473669052124
The 27-th AutoFormerSub arch:, er score: 359.40122985839844
The 28-th AutoFormerSub arch:, er score: 362.18107509613037
The 29-th AutoFormerSub arch:, er score: 346.0423541069031
The 30-th AutoFormerSub arch:, er score: 334.8271141052246
The 31-th AutoFormerSub arch:, er score: 353.4114284515381
The 32-th AutoFormerSub arch:, er score: 161.9778573513031
The 33-th AutoFormerSub arch:, er score: 141.96933007240295
The 34-th AutoFormerSub arch:, er score: 151.4702606201172
The 35-th AutoFormerSub arch:, er score: 367.5832357406616
The 36-th AutoFormerSub arch:, er score: 333.980432510376
The 37-th AutoFormerSub arch:, er score: 160.00136852264404
The 38-th AutoFormerSub arch:, er score: 156.29161477088928
The 39-th AutoFormerSub arch:, er score: 156.6590929031372
The 40-th AutoFormerSub arch:, er score: 373.8159341812134
The 41-th AutoFormerSub arch:, er score: 327.238073348999
The 42-th AutoFormerSub arch:, er score: 334.17766189575195
The 43-th AutoFormerSub arch:, er score: 384.2067289352417
The 44-th AutoFormerSub arch:, er score: 165.08609533309937
The 45-th AutoFormerSub arch:, er score: 140.51735281944275
The 46-th AutoFormerSub arch:, er score: 156.44315195083618
The 47-th AutoFormerSub arch:, er score: 156.48816180229187
The 48-th AutoFormerSub arch:, er score: 156.04205632209778
The 49-th AutoFormerSub arch:, er score: 152.12816667556763
The 50-th AutoFormerSub arch:, er score: 158.7310745716095
The 51-th AutoFormerSub arch:, er score: 163.28582644462585
The 52-th AutoFormerSub arch:, er score: 145.2301664352417
The 53-th AutoFormerSub arch:, er score: 346.4480047225952
The 54-th AutoFormerSub arch:, er score: 146.49371218681335
The 55-th AutoFormerSub arch:, er score: 146.15446066856384
The 56-th AutoFormerSub arch:, er score: 167.23948621749878
The 57-th AutoFormerSub arch:, er score: 333.8861198425293
The 58-th AutoFormerSub arch:, er score: 169.44438123703003
The 59-th AutoFormerSub arch:, er score: 156.95595240592957
The 60-th AutoFormerSub arch:, er score: 343.80153942108154
The 61-th AutoFormerSub arch:, er score: 140.39954781532288
The 62-th AutoFormerSub arch:, er score: 165.50770711898804
The 63-th AutoFormerSub arch:, er score: 168.15467071533203
The 64-th AutoFormerSub arch:, er score: 159.42300510406494
The 65-th AutoFormerSub arch:, er score: 157.8589162826538
The 66-th AutoFormerSub arch:, er score: 159.09278178215027
The 67-th AutoFormerSub arch:, er score: 143.35018682479858
The 68-th AutoFormerSub arch:, er score: 156.94563674926758
The 69-th AutoFormerSub arch:, er score: 144.8337423801422
The 70-th AutoFormerSub arch:, er score: 151.23873472213745
The 71-th AutoFormerSub arch:, er score: 378.7890729904175
