save_dir            : ./work_dirs/rank/AutoFormerSub/flowers/kd
gt_path             : ./gt_results/gt_autoformer_2.pth
refer_cfg           : ./configs/auto/autoformer/autoformer-ti-subnet_flowers_kd.yaml
other_zc            : er
ds                  : flowers
acc_type            : kd
Build er ....
The 0-th AutoFormerSub arch:, er score: 1416.368797302246
The 1-th AutoFormerSub arch:, er score: 1501.1698608398438
The 2-th AutoFormerSub arch:, er score: 1365.49853515625
The 3-th AutoFormerSub arch:, er score: 1406.374122619629
The 4-th AutoFormerSub arch:, er score: 1268.0083694458008
The 5-th AutoFormerSub arch:, er score: 1504.023193359375
The 6-th AutoFormerSub arch:, er score: 1219.5249099731445
The 7-th AutoFormerSub arch:, er score: 1409.0795059204102
The 8-th AutoFormerSub arch:, er score: 1307.3671798706055
The 9-th AutoFormerSub arch:, er score: 1310.6608276367188
The 10-th AutoFormerSub arch:, er score: 1221.8463745117188
The 11-th AutoFormerSub arch:, er score: 1310.2811431884766
The 12-th AutoFormerSub arch:, er score: 1312.1278228759766
The 13-th AutoFormerSub arch:, er score: 1403.7035827636719
The 14-th AutoFormerSub arch:, er score: 1508.5551071166992
The 15-th AutoFormerSub arch:, er score: 1311.9310607910156
The 16-th AutoFormerSub arch:, er score: 1405.3007431030273
The 17-th AutoFormerSub arch:, er score: 1408.7404098510742
The 18-th AutoFormerSub arch:, er score: 1217.368263244629
The 19-th AutoFormerSub arch:, er score: 1411.7376098632812
The 20-th AutoFormerSub arch:, er score: 1310.5822219848633
The 21-th AutoFormerSub arch:, er score: 1300.9721450805664
The 22-th AutoFormerSub arch:, er score: 1220.3700103759766
The 23-th AutoFormerSub arch:, er score: 1313.376953125
The 24-th AutoFormerSub arch:, er score: 1405.210060119629
The 25-th AutoFormerSub arch:, er score: 1408.775390625
The 26-th AutoFormerSub arch:, er score: 1464.8021621704102
The 27-th AutoFormerSub arch:, er score: 1219.4703216552734
The 28-th AutoFormerSub arch:, er score: 1409.3679428100586
The 29-th AutoFormerSub arch:, er score: 1412.1427154541016
The 30-th AutoFormerSub arch:, er score: 1216.862045288086
The 31-th AutoFormerSub arch:, er score: 1317.3860168457031
The 32-th AutoFormerSub arch:, er score: 1271.1861419677734
The 33-th AutoFormerSub arch:, er score: 1304.2421417236328
The 34-th AutoFormerSub arch:, er score: 1308.6047286987305
The 35-th AutoFormerSub arch:, er score: 1410.5080642700195
The 36-th AutoFormerSub arch:, er score: 1307.4476623535156
The 37-th AutoFormerSub arch:, er score: 1266.198715209961
The 38-th AutoFormerSub arch:, er score: 1301.4681091308594
The 39-th AutoFormerSub arch:, er score: 1267.5529403686523
The 40-th AutoFormerSub arch:, er score: 1405.9835586547852
The 41-th AutoFormerSub arch:, er score: 1216.8678283691406
The 42-th AutoFormerSub arch:, er score: 1307.637107849121
The 43-th AutoFormerSub arch:, er score: 1410.5171127319336
The 44-th AutoFormerSub arch:, er score: 1363.3507232666016
The 45-th AutoFormerSub arch:, er score: 1365.0377960205078
The 46-th AutoFormerSub arch:, er score: 1312.4719543457031
The 47-th AutoFormerSub arch:, er score: 1309.3744735717773
The 48-th AutoFormerSub arch:, er score: 1507.2010345458984
The 49-th AutoFormerSub arch:, er score: 1267.4639129638672
The 50-th AutoFormerSub arch:, er score: 1412.812889099121
The 51-th AutoFormerSub arch:, er score: 1464.421401977539
The 52-th AutoFormerSub arch:, er score: 1310.9122848510742
The 53-th AutoFormerSub arch:, er score: 1218.8417434692383
The 54-th AutoFormerSub arch:, er score: 1510.938133239746
The 55-th AutoFormerSub arch:, er score: 1461.828239440918
The 56-th AutoFormerSub arch:, er score: 1512.6858444213867
The 57-th AutoFormerSub arch:, er score: 1219.277198791504
The 58-th AutoFormerSub arch:, er score: 1464.1956481933594
The 59-th AutoFormerSub arch:, er score: 1511.7410583496094
The 60-th AutoFormerSub arch:, er score: 1406.8444595336914
The 61-th AutoFormerSub arch:, er score: 1269.910415649414
The 62-th AutoFormerSub arch:, er score: 1365.2420272827148
The 63-th AutoFormerSub arch:, er score: 1267.5646362304688
The 64-th AutoFormerSub arch:, er score: 1406.4618682861328
The 65-th AutoFormerSub arch:, er score: 1408.1441192626953
The 66-th AutoFormerSub arch:, er score: 1362.4507675170898
The 67-th AutoFormerSub arch:, er score: 1304.805435180664
The 68-th AutoFormerSub arch:, er score: 1414.5625534057617
The 69-th AutoFormerSub arch:, er score: 1304.3605346679688
The 70-th AutoFormerSub arch:, er score: 1410.0936126708984
The 71-th AutoFormerSub arch:, er score: 1319.2185440063477
The 72-th AutoFormerSub arch:, er score: 1310.6525497436523
The 73-th AutoFormerSub arch:, er score: 1507.0541229248047
The 74-th AutoFormerSub arch:, er score: 1504.7585678100586
The 75-th AutoFormerSub arch:, er score: 1302.5910263061523
The 76-th AutoFormerSub arch:, er score: 1317.733901977539
The 77-th AutoFormerSub arch:, er score: 1509.003776550293
The 78-th AutoFormerSub arch:, er score: 1362.8579025268555
The 79-th AutoFormerSub arch:, er score: 1219.3070678710938
The 80-th AutoFormerSub arch:, er score: 1267.9891738891602
The 81-th AutoFormerSub arch:, er score: 1307.845115661621
The 82-th AutoFormerSub arch:, er score: 1316.8207931518555
The 83-th AutoFormerSub arch:, er score: 1404.293342590332
The 84-th AutoFormerSub arch:, er score: 1315.3581237792969
The 85-th AutoFormerSub arch:, er score: 1304.4878540039062
The 86-th AutoFormerSub arch:, er score: 1454.9670028686523
The 87-th AutoFormerSub arch:, er score: 1461.152442932129
The 88-th AutoFormerSub arch:, er score: 1301.0601272583008
The 89-th AutoFormerSub arch:, er score: 1460.2510528564453
The 90-th AutoFormerSub arch:, er score: 1311.4165573120117
The 91-th AutoFormerSub arch:, er score: 1308.3587265014648
The 92-th AutoFormerSub arch:, er score: 1460.3661346435547
The 93-th AutoFormerSub arch:, er score: 1266.2475967407227
The 94-th AutoFormerSub arch:, er score: 1308.0825729370117
The 95-th AutoFormerSub arch:, er score: 1307.983039855957
The 96-th AutoFormerSub arch:, er score: 1315.9410705566406
The 97-th AutoFormerSub arch:, er score: 1216.317756652832
The 98-th AutoFormerSub arch:, er score: 1398.454948425293
The 99-th AutoFormerSub arch:, er score: 1214.2103271484375
Rank consistency on dataset flowers: kendall: 0.4140944709133237, spearman: 0.5829352621452089, pearson: 0.6850478603101285
Finished, time cost: 0.1959827392631107 hour.
