save_dir            : ./work_dirs/rank/AutoFormerSub/chaoyang/kd
gt_path             : ./gt_results/gt_autoformer_2.pth
refer_cfg           : ./configs/auto/autoformer/autoformer-ti-subnet_chaoyang_kd.yaml
other_zc            : er
ds                  : chaoyang
acc_type            : kd
Build er ....
The 0-th AutoFormerSub arch:, er score: 156.40458512306213
The 1-th AutoFormerSub arch:, er score: 145.78753876686096
The 2-th AutoFormerSub arch:, er score: 159.26597118377686
The 3-th AutoFormerSub arch:, er score: 161.04972457885742
The 4-th AutoFormerSub arch:, er score: 153.01812648773193
The 5-th AutoFormerSub arch:, er score: 158.56725549697876
The 6-th AutoFormerSub arch:, er score: 321.9211483001709
The 7-th AutoFormerSub arch:, er score: 340.75873613357544
The 8-th AutoFormerSub arch:, er score: 145.72393441200256
The 9-th AutoFormerSub arch:, er score: 341.49435806274414
The 10-th AutoFormerSub arch:, er score: 321.1536388397217
The 11-th AutoFormerSub arch:, er score: 331.421751499176
The 12-th AutoFormerSub arch:, er score: 358.0760040283203
The 13-th AutoFormerSub arch:, er score: 165.09412789344788
The 14-th AutoFormerSub arch:, er score: 152.1740264892578
The 15-th AutoFormerSub arch:, er score: 156.66062569618225
The 16-th AutoFormerSub arch:, er score: 147.77456665039062
The 17-th AutoFormerSub arch:, er score: 159.72579097747803
The 18-th AutoFormerSub arch:, er score: 347.7934265136719
The 19-th AutoFormerSub arch:, er score: 377.1663303375244
The 20-th AutoFormerSub arch:, er score: 153.19568300247192
The 21-th AutoFormerSub arch:, er score: 161.77966165542603
The 22-th AutoFormerSub arch:, er score: 344.73778343200684
The 23-th AutoFormerSub arch:, er score: 338.8485326766968
The 24-th AutoFormerSub arch:, er score: 159.15094089508057
The 25-th AutoFormerSub arch:, er score: 364.96328926086426
The 26-th AutoFormerSub arch:, er score: 157.51024913787842
The 27-th AutoFormerSub arch:, er score: 332.05292224884033
The 28-th AutoFormerSub arch:, er score: 352.7715811729431
The 29-th AutoFormerSub arch:, er score: 345.4400372505188
The 30-th AutoFormerSub arch:, er score: 353.80317974090576
