save_dir            : ./work_dirs/rank/AutoFormerSub/chaoyang/kd
gt_path             : ./gt_results/gt_autoformer_2.pth
refer_cfg           : ./configs/auto/autoformer/autoformer-ti-subnet_chaoyang_kd.yaml
other_zc            : er
ds                  : chaoyang
acc_type            : kd
Build er ....
The 0-th AutoFormerSub arch:, er score: 1410.1116256713867
The 1-th AutoFormerSub arch:, er score: 1499.5529098510742
The 2-th AutoFormerSub arch:, er score: 1364.0314636230469
The 3-th AutoFormerSub arch:, er score: 1408.6439514160156
The 4-th AutoFormerSub arch:, er score: 1266.8996353149414
The 5-th AutoFormerSub arch:, er score: 1500.032829284668
The 6-th AutoFormerSub arch:, er score: 1217.9544067382812
The 7-th AutoFormerSub arch:, er score: 1408.403579711914
The 8-th AutoFormerSub arch:, er score: 1307.2388534545898
The 9-th AutoFormerSub arch:, er score: 1310.7538375854492
The 10-th AutoFormerSub arch:, er score: 1216.0596923828125
The 11-th AutoFormerSub arch:, er score: 1311.2838516235352
The 12-th AutoFormerSub arch:, er score: 1308.7395935058594
The 13-th AutoFormerSub arch:, er score: 1405.5546646118164
The 14-th AutoFormerSub arch:, er score: 1510.496192932129
The 15-th AutoFormerSub arch:, er score: 1308.1926193237305
The 16-th AutoFormerSub arch:, er score: 1402.983901977539
The 17-th AutoFormerSub arch:, er score: 1407.9245223999023
The 18-th AutoFormerSub arch:, er score: 1215.809181213379
The 19-th AutoFormerSub arch:, er score: 1411.7310638427734
The 20-th AutoFormerSub arch:, er score: 1309.0705642700195
The 21-th AutoFormerSub arch:, er score: 1307.6347122192383
The 22-th AutoFormerSub arch:, er score: 1221.2722625732422
The 23-th AutoFormerSub arch:, er score: 1313.8454208374023
The 24-th AutoFormerSub arch:, er score: 1407.7199935913086
The 25-th AutoFormerSub arch:, er score: 1411.3832931518555
The 26-th AutoFormerSub arch:, er score: 1464.749168395996
The 27-th AutoFormerSub arch:, er score: 1217.2466659545898
The 28-th AutoFormerSub arch:, er score: 1408.1873321533203
The 29-th AutoFormerSub arch:, er score: 1408.663459777832
The 30-th AutoFormerSub arch:, er score: 1211.6571884155273
The 31-th AutoFormerSub arch:, er score: 1313.6269073486328
The 32-th AutoFormerSub arch:, er score: 1266.289161682129
The 33-th AutoFormerSub arch:, er score: 1304.2012405395508
The 34-th AutoFormerSub arch:, er score: 1305.7812805175781
The 35-th AutoFormerSub arch:, er score: 1410.4201583862305
The 36-th AutoFormerSub arch:, er score: 1312.6366271972656
The 37-th AutoFormerSub arch:, er score: 1263.8060684204102
The 38-th AutoFormerSub arch:, er score: 1304.2299041748047
The 39-th AutoFormerSub arch:, er score: 1270.9620742797852
The 40-th AutoFormerSub arch:, er score: 1411.744644165039
The 41-th AutoFormerSub arch:, er score: 1215.6659774780273
The 42-th AutoFormerSub arch:, er score: 1311.4675598144531
The 43-th AutoFormerSub arch:, er score: 1410.8916931152344
The 44-th AutoFormerSub arch:, er score: 1364.8525314331055
The 45-th AutoFormerSub arch:, er score: 1363.4473419189453
The 46-th AutoFormerSub arch:, er score: 1307.009422302246
The 47-th AutoFormerSub arch:, er score: 1310.185432434082
The 48-th AutoFormerSub arch:, er score: 1507.5652084350586
The 49-th AutoFormerSub arch:, er score: 1267.9251708984375
The 50-th AutoFormerSub arch:, er score: 1408.680046081543
The 51-th AutoFormerSub arch:, er score: 1460.4321899414062
The 52-th AutoFormerSub arch:, er score: 1306.7960739135742
The 53-th AutoFormerSub arch:, er score: 1220.154769897461
The 54-th AutoFormerSub arch:, er score: 1507.7012100219727
The 55-th AutoFormerSub arch:, er score: 1461.2142028808594
The 56-th AutoFormerSub arch:, er score: 1507.0111618041992
The 57-th AutoFormerSub arch:, er score: 1218.6243438720703
The 58-th AutoFormerSub arch:, er score: 1466.5454025268555
The 59-th AutoFormerSub arch:, er score: 1502.290397644043
The 60-th AutoFormerSub arch:, er score: 1410.7949600219727
The 61-th AutoFormerSub arch:, er score: 1268.708724975586
The 62-th AutoFormerSub arch:, er score: 1364.4144134521484
