save_dir            : ./work_dirs/rank/PiT/cifar100/kd
gt_path             : ./gt_results/gt_pit.pth
refer_cfg           : configs/auto/pit/pit-ti_c100_kd.yaml
other_zc            : er
ds                  : cifar100
acc_type            : kd
Build er ....
The 0-th PiT arch:, er score: 291.5629439353943
The 1-th PiT arch:, er score: 350.51025652885437
The 2-th PiT arch:, er score: 329.9945902824402
The 3-th PiT arch:, er score: 202.6288547515869
The 4-th PiT arch:, er score: 281.7120132446289
The 5-th PiT arch:, er score: 342.7395248413086
The 6-th PiT arch:, er score: 488.13193798065186
The 7-th PiT arch:, er score: 355.5872507095337
The 8-th PiT arch:, er score: 750.3959213495255
The 9-th PiT arch:, er score: 285.42425870895386
The 10-th PiT arch:, er score: 480.24737191200256
The 11-th PiT arch:, er score: 346.030556678772
The 12-th PiT arch:, er score: 306.88645792007446
The 13-th PiT arch:, er score: 324.86531591415405
The 14-th PiT arch:, er score: 339.0464131832123
The 15-th PiT arch:, er score: 251.87710464000702
The 16-th PiT arch:, er score: 390.19973969459534
The 17-th PiT arch:, er score: 278.1148669719696
The 18-th PiT arch:, er score: 433.7415404319763
The 19-th PiT arch:, er score: 388.4568552970886
The 20-th PiT arch:, er score: 521.3208727836609
The 21-th PiT arch:, er score: 606.0738306045532
The 22-th PiT arch:, er score: 541.2911972999573
The 23-th PiT arch:, er score: 572.4151837825775
The 24-th PiT arch:, er score: 535.7333242893219
The 25-th PiT arch:, er score: 385.3627116680145
The 26-th PiT arch:, er score: 364.65182971954346
The 27-th PiT arch:, er score: 442.9401088953018
The 28-th PiT arch:, er score: 414.3440616130829
The 29-th PiT arch:, er score: 181.86149287223816
The 30-th PiT arch:, er score: 279.1951678991318
The 31-th PiT arch:, er score: 218.8764524459839
The 32-th PiT arch:, er score: 499.2600874900818
The 33-th PiT arch:, er score: 462.8178194761276
The 34-th PiT arch:, er score: 603.3172899484634
The 35-th PiT arch:, er score: 436.77811312675476
The 36-th PiT arch:, er score: 223.16520416736603
The 37-th PiT arch:, er score: 264.94237422943115
The 38-th PiT arch:, er score: 416.46970200538635
The 39-th PiT arch:, er score: 275.3408842086792
The 40-th PiT arch:, er score: 204.03897905349731
The 41-th PiT arch:, er score: 541.5220818519592
The 42-th PiT arch:, er score: 609.723882317543
The 43-th PiT arch:, er score: 612.5352239608765
The 44-th PiT arch:, er score: 469.1380834579468
The 45-th PiT arch:, er score: 384.8052875995636
The 46-th PiT arch:, er score: 669.0975298881531
The 47-th PiT arch:, er score: 275.889817237854
The 48-th PiT arch:, er score: 329.0203512907028
The 49-th PiT arch:, er score: 490.8537516593933
The 50-th PiT arch:, er score: 348.24457454681396
The 51-th PiT arch:, er score: 340.8979548215866
The 52-th PiT arch:, er score: 353.09671545028687
The 53-th PiT arch:, er score: 578.47345662117
The 54-th PiT arch:, er score: 559.2382547855377
The 55-th PiT arch:, er score: 610.6063220500946
The 56-th PiT arch:, er score: 259.44493675231934
The 57-th PiT arch:, er score: 394.7262718677521
The 58-th PiT arch:, er score: 620.3997812271118
The 59-th PiT arch:, er score: 193.9015679359436
The 60-th PiT arch:, er score: 267.92782855033875
The 61-th PiT arch:, er score: 384.8797973394394
The 62-th PiT arch:, er score: 666.9271788597107
The 63-th PiT arch:, er score: 390.84520649909973
The 64-th PiT arch:, er score: 278.49539375305176
The 65-th PiT arch:, er score: 686.4525306224823
The 66-th PiT arch:, er score: 458.3776390552521
The 67-th PiT arch:, er score: 537.9003891944885
The 68-th PiT arch:, er score: 249.82171034812927
The 69-th PiT arch:, er score: 745.1783647537231
The 70-th PiT arch:, er score: 424.4298586845398
The 71-th PiT arch:, er score: 431.88184356689453
The 72-th PiT arch:, er score: 490.4649181365967
The 73-th PiT arch:, er score: 767.1913909912109
The 74-th PiT arch:, er score: 333.54343485832214
The 75-th PiT arch:, er score: 341.95601177215576
The 76-th PiT arch:, er score: 642.5374271869659
The 77-th PiT arch:, er score: 157.29162907600403
The 78-th PiT arch:, er score: 685.4309425354004
The 79-th PiT arch:, er score: 385.1008577346802
The 80-th PiT arch:, er score: 389.3436232805252
The 81-th PiT arch:, er score: 683.2358000278473
The 82-th PiT arch:, er score: 292.50060963630676
The 83-th PiT arch:, er score: 465.916348695755
The 84-th PiT arch:, er score: 472.74842596054077
The 85-th PiT arch:, er score: 523.7675442695618
The 86-th PiT arch:, er score: 263.60293769836426
The 87-th PiT arch:, er score: 407.1341550350189
The 88-th PiT arch:, er score: 238.85070312023163
The 89-th PiT arch:, er score: 244.211155295372
The 90-th PiT arch:, er score: 243.56055641174316
The 91-th PiT arch:, er score: 266.22975420951843
The 92-th PiT arch:, er score: 400.7440527677536
The 93-th PiT arch:, er score: 533.9758253097534
The 94-th PiT arch:, er score: 411.1871519088745
The 95-th PiT arch:, er score: 877.120774269104
The 96-th PiT arch:, er score: 423.58345115184784
The 97-th PiT arch:, er score: 741.0933108329773
The 98-th PiT arch:, er score: 424.65472531318665
The 99-th PiT arch:, er score: 410.01705062389374
Rank consistency on dataset cifar100: kendall: 0.5231454368051777, spearman: 0.7232233404713515, pearson: 0.49394767188315936
Finished, time cost: 0.1218158209986157 hour.
