save_dir            : ./work_dirs/rank/PiT/cifar100/kd
gt_path             : ./gt_results/gt_pit.pth
refer_cfg           : configs/auto/pit/pit-ti_c100_kd.yaml
other_zc            : er
ds                  : cifar100
acc_type            : kd
Build er ....
The 0-th PiT arch:, er score: 115.60224425792694
The 1-th PiT arch:, er score: 60.32231390476227
The 2-th PiT arch:, er score: 136.29178643226624
The 3-th PiT arch:, er score: 105.7163872718811
The 4-th PiT arch:, er score: 89.28645706176758
The 5-th PiT arch:, er score: 160.40113925933838
The 6-th PiT arch:, er score: 172.07591223716736
The 7-th PiT arch:, er score: 123.43381440639496
The 8-th PiT arch:, er score: 358.775838971138
The 9-th PiT arch:, er score: 108.00096344947815
The 10-th PiT arch:, er score: 97.76035356521606
The 11-th PiT arch:, er score: 117.07816171646118
The 12-th PiT arch:, er score: 134.97236227989197
The 13-th PiT arch:, er score: 146.0510334968567
The 14-th PiT arch:, er score: 96.5381475687027
The 15-th PiT arch:, er score: 114.98372495174408
The 16-th PiT arch:, er score: 104.74746549129486
The 17-th PiT arch:, er score: 73.79731392860413
The 18-th PiT arch:, er score: 131.47029376029968
The 19-th PiT arch:, er score: 134.74216735363007
The 20-th PiT arch:, er score: 162.77583420276642
The 21-th PiT arch:, er score: 220.1495302915573
The 22-th PiT arch:, er score: 164.54010689258575
The 23-th PiT arch:, er score: 264.7851675748825
The 24-th PiT arch:, er score: 253.29057037830353
The 25-th PiT arch:, er score: 56.430439591407776
The 26-th PiT arch:, er score: 132.1573600769043
The 27-th PiT arch:, er score: 139.07494509220123
The 28-th PiT arch:, er score: 136.97507786750793
The 29-th PiT arch:, er score: 98.34215414524078
The 30-th PiT arch:, er score: 144.85703217983246
The 31-th PiT arch:, er score: 97.9767917394638
The 32-th PiT arch:, er score: 187.28917276859283
The 33-th PiT arch:, er score: 123.15311849117279
The 34-th PiT arch:, er score: 245.31513738632202
The 35-th PiT arch:, er score: 180.8835402727127
The 36-th PiT arch:, er score: 125.7516462802887
The 37-th PiT arch:, er score: 103.58187663555145
The 38-th PiT arch:, er score: 137.961576461792
The 39-th PiT arch:, er score: 143.72928929328918
The 40-th PiT arch:, er score: 83.30791819095612
The 41-th PiT arch:, er score: 211.14278829097748
The 42-th PiT arch:, er score: 257.8160699605942
The 43-th PiT arch:, er score: 210.76485776901245
The 44-th PiT arch:, er score: 164.9285125732422
The 45-th PiT arch:, er score: 149.09709179401398
The 46-th PiT arch:, er score: 216.05793583393097
The 47-th PiT arch:, er score: 136.641104221344
The 48-th PiT arch:, er score: 167.03692734241486
The 49-th PiT arch:, er score: 121.34066843986511
The 50-th PiT arch:, er score: 78.24392485618591
The 51-th PiT arch:, er score: 87.1875057220459
The 52-th PiT arch:, er score: 144.36416459083557
The 53-th PiT arch:, er score: 194.49460339546204
The 54-th PiT arch:, er score: 148.5526477098465
The 55-th PiT arch:, er score: 157.8131067752838
The 56-th PiT arch:, er score: 120.49172759056091
The 57-th PiT arch:, er score: 130.49639546871185
The 58-th PiT arch:, er score: 151.27323639392853
The 59-th PiT arch:, er score: 107.64310145378113
The 60-th PiT arch:, er score: 91.84620702266693
The 61-th PiT arch:, er score: 152.07014298439026
The 62-th PiT arch:, er score: 289.3850222826004
The 63-th PiT arch:, er score: 144.74122405052185
The 64-th PiT arch:, er score: 107.14961278438568
The 65-th PiT arch:, er score: 299.65702188014984
The 66-th PiT arch:, er score: 108.1708596944809
The 67-th PiT arch:, er score: 142.41750979423523
The 68-th PiT arch:, er score: 85.574392080307
The 69-th PiT arch:, er score: 255.8018537759781
The 70-th PiT arch:, er score: 80.3059012889862
The 71-th PiT arch:, er score: 177.34330928325653
The 72-th PiT arch:, er score: 162.50855803489685
The 73-th PiT arch:, er score: 214.78912830352783
The 74-th PiT arch:, er score: 89.73608136177063
The 75-th PiT arch:, er score: 138.13946533203125
The 76-th PiT arch:, er score: 289.4629342556
The 77-th PiT arch:, er score: 98.07406175136566
The 78-th PiT arch:, er score: 213.07387280464172
The 79-th PiT arch:, er score: 186.25415897369385
The 80-th PiT arch:, er score: 161.23657715320587
The 81-th PiT arch:, er score: 199.61747193336487
The 82-th PiT arch:, er score: 96.99169373512268
The 83-th PiT arch:, er score: 158.28623044490814
The 84-th PiT arch:, er score: 131.84626531600952
The 85-th PiT arch:, er score: 177.00015354156494
The 86-th PiT arch:, er score: 97.0334941148758
The 87-th PiT arch:, er score: 123.89550590515137
The 88-th PiT arch:, er score: 103.48118162155151
The 89-th PiT arch:, er score: 129.8695695400238
The 90-th PiT arch:, er score: 115.54941737651825
The 91-th PiT arch:, er score: 128.06757998466492
The 92-th PiT arch:, er score: 89.29190063476562
The 93-th PiT arch:, er score: 231.802450299263
The 94-th PiT arch:, er score: 136.6624927520752
The 95-th PiT arch:, er score: 303.8238146305084
The 96-th PiT arch:, er score: 124.40101039409637
The 97-th PiT arch:, er score: 244.05835282802582
The 98-th PiT arch:, er score: 169.44418931007385
The 99-th PiT arch:, er score: 147.68489122390747
Rank consistency on dataset cifar100: kendall: 0.3096826928846724, spearman: 0.4361194621671954, pearson: 0.2822010568806448
Finished, time cost: 0.07571439815892114 hour.
