save_dir            : ./work_dirs/rank/PiT_kd
gt_path             : ./gt_results/gt_pit.pth
refer_cfg           : configs/auto/pit/pit-ti_c100_kd.yaml
other_zc            : er
ds                  : cifar100
Build er ....
The 0-th PiT arch:, er score: 344.4465608596802
The 1-th PiT arch:, er score: 151.46319961547852
The 2-th PiT arch:, er score: 358.30729961395264
The 3-th PiT arch:, er score: 230.25839734077454
The 4-th PiT arch:, er score: 332.2498676776886
The 5-th PiT arch:, er score: 374.5462169647217
The 6-th PiT arch:, er score: 541.3205885887146
The 7-th PiT arch:, er score: 428.1818296909332
The 8-th PiT arch:, er score: 617.483211517334
The 9-th PiT arch:, er score: 331.7903037071228
The 10-th PiT arch:, er score: 632.5832197666168
The 11-th PiT arch:, er score: 406.6188929080963
The 12-th PiT arch:, er score: 298.986083984375
The 13-th PiT arch:, er score: 358.7256692647934
The 14-th PiT arch:, er score: 426.14766335487366
The 15-th PiT arch:, er score: 282.25790190696716
The 16-th PiT arch:, er score: 499.469441652298
The 17-th PiT arch:, er score: 328.4424958229065
The 18-th PiT arch:, er score: 497.74609875679016
The 19-th PiT arch:, er score: 450.20095229148865
The 20-th PiT arch:, er score: 618.8784453868866
The 21-th PiT arch:, er score: 682.4406051635742
The 22-th PiT arch:, er score: 657.3827748298645
The 23-th PiT arch:, er score: 437.96979236602783
The 24-th PiT arch:, er score: 591.8296220302582
The 25-th PiT arch:, er score: 178.37495279312134
The 26-th PiT arch:, er score: 406.87301659584045
The 27-th PiT arch:, er score: 577.0230255126953
The 28-th PiT arch:, er score: 473.10161566734314
The 29-th PiT arch:, er score: 194.44848501682281
The 30-th PiT arch:, er score: 270.80300188064575
The 31-th PiT arch:, er score: 227.8429913520813
The 32-th PiT arch:, er score: 345.97160172462463
The 33-th PiT arch:, er score: 586.846364736557
The 34-th PiT arch:, er score: 691.0096256732941
The 35-th PiT arch:, er score: 467.18166422843933
The 36-th PiT arch:, er score: 223.73991537094116
The 37-th PiT arch:, er score: 313.91396033763885
The 38-th PiT arch:, er score: 489.6643760204315
The 39-th PiT arch:, er score: 312.8975874185562
The 40-th PiT arch:, er score: 240.46838188171387
The 41-th PiT arch:, er score: 589.2551621198654
The 42-th PiT arch:, er score: 467.73514103889465
The 43-th PiT arch:, er score: 691.2296187877655
The 44-th PiT arch:, er score: 538.0061068534851
The 45-th PiT arch:, er score: 446.78491938114166
The 46-th PiT arch:, er score: 402.49177265167236
The 47-th PiT arch:, er score: 308.1480815410614
The 48-th PiT arch:, er score: 344.8613610267639
The 49-th PiT arch:, er score: 566.2787842750549
The 50-th PiT arch:, er score: 430.8226366043091
The 51-th PiT arch:, er score: 204.35751152038574
The 52-th PiT arch:, er score: 394.4536008834839
The 53-th PiT arch:, er score: 719.7143967151642
The 54-th PiT arch:, er score: 308.4166958332062
The 55-th PiT arch:, er score: 355.8941171169281
The 56-th PiT arch:, er score: 246.88690185546875
The 57-th PiT arch:, er score: 464.1039457321167
The 58-th PiT arch:, er score: 747.913595199585
The 59-th PiT arch:, er score: 215.14471864700317
The 60-th PiT arch:, er score: 314.1100151538849
The 61-th PiT arch:, er score: 411.2600302696228
The 62-th PiT arch:, er score: 544.4164395332336
The 63-th PiT arch:, er score: 399.71545910835266
The 64-th PiT arch:, er score: 286.65213418006897
The 65-th PiT arch:, er score: 535.7302272319794
The 66-th PiT arch:, er score: 241.78178024291992
The 67-th PiT arch:, er score: 620.8464093208313
The 68-th PiT arch:, er score: 300.7699843645096
The 69-th PiT arch:, er score: 474.148894071579
The 70-th PiT arch:, er score: 547.7928457260132
The 71-th PiT arch:, er score: 479.68982124328613
The 72-th PiT arch:, er score: 675.7327692508698
The 73-th PiT arch:, er score: 920.6377742290497
The 74-th PiT arch:, er score: 413.0272879600525
The 75-th PiT arch:, er score: 335.0898153781891
The 76-th PiT arch:, er score: 534.7553491592407
The 77-th PiT arch:, er score: 162.9063731431961
The 78-th PiT arch:, er score: 787.6730873584747
The 79-th PiT arch:, er score: 410.3432250022888
The 80-th PiT arch:, er score: 443.855535030365
The 81-th PiT arch:, er score: 825.9754390716553
The 82-th PiT arch:, er score: 350.99302864074707
The 83-th PiT arch:, er score: 520.9214876890182
The 84-th PiT arch:, er score: 569.8310956954956
The 85-th PiT arch:, er score: 590.5351316928864
The 86-th PiT arch:, er score: 321.40411853790283
The 87-th PiT arch:, er score: 493.2454605102539
The 88-th PiT arch:, er score: 282.9589636325836
The 89-th PiT arch:, er score: 261.82403922080994
The 90-th PiT arch:, er score: 262.9578104019165
The 91-th PiT arch:, er score: 288.000280380249
The 92-th PiT arch:, er score: 518.4411714076996
The 93-th PiT arch:, er score: 591.0931532382965
The 94-th PiT arch:, er score: 490.23634576797485
The 95-th PiT arch:, er score: 996.9180812835693
The 96-th PiT arch:, er score: 506.09723448753357
The 97-th PiT arch:, er score: 805.0055611133575
The 98-th PiT arch:, er score: 342.4172041416168
The 99-th PiT arch:, er score: 494.62562894821167
Rank consistency on dataset cifar100: kendall: 0.32949268237729507, spearman: 0.43457728018947217, pearson: 0.3858718454564833
Finished, time cost: 0.09086990508768293 hour.
