save_dir            : ./work_dirs/rank/PiT_kd
gt_path             : ./gt_results/gt_pit.pth
refer_cfg           : configs/auto/pit/pit-ti_flowers_kd.yaml
other_zc            : er
ds                  : flowers
Build er ....
The 0-th PiT arch:, er score: 349.72095251083374
The 1-th PiT arch:, er score: 149.29291105270386
The 2-th PiT arch:, er score: 368.6120481491089
The 3-th PiT arch:, er score: 229.899343252182
The 4-th PiT arch:, er score: 352.351553440094
The 5-th PiT arch:, er score: 379.5304012298584
The 6-th PiT arch:, er score: 563.8900589942932
The 7-th PiT arch:, er score: 419.39545011520386
The 8-th PiT arch:, er score: 639.4724068641663
The 9-th PiT arch:, er score: 327.4839165210724
The 10-th PiT arch:, er score: 636.1377527713776
The 11-th PiT arch:, er score: 391.89417576789856
The 12-th PiT arch:, er score: 315.86537313461304
The 13-th PiT arch:, er score: 357.7054092884064
The 14-th PiT arch:, er score: 443.20662569999695
The 15-th PiT arch:, er score: 287.768470287323
The 16-th PiT arch:, er score: 489.7669413089752
The 17-th PiT arch:, er score: 331.9817363023758
The 18-th PiT arch:, er score: 496.7616055011749
The 19-th PiT arch:, er score: 450.00175046920776
The 20-th PiT arch:, er score: 615.226104259491
The 21-th PiT arch:, er score: 687.9207606315613
The 22-th PiT arch:, er score: 631.3168168067932
The 23-th PiT arch:, er score: 433.4043935537338
The 24-th PiT arch:, er score: 581.1071530580521
The 25-th PiT arch:, er score: 157.96015906333923
The 26-th PiT arch:, er score: 406.4212028980255
The 27-th PiT arch:, er score: 578.5635406970978
The 28-th PiT arch:, er score: 473.31857347488403
The 29-th PiT arch:, er score: 192.76082825660706
The 30-th PiT arch:, er score: 275.39677262306213
The 31-th PiT arch:, er score: 230.015962600708
The 32-th PiT arch:, er score: 355.9904713630676
The 33-th PiT arch:, er score: 615.5387078523636
The 34-th PiT arch:, er score: 683.068452835083
The 35-th PiT arch:, er score: 475.9747898578644
The 36-th PiT arch:, er score: 227.08332872390747
The 37-th PiT arch:, er score: 314.09924483299255
The 38-th PiT arch:, er score: 472.74725556373596
The 39-th PiT arch:, er score: 308.13679361343384
The 40-th PiT arch:, er score: 237.55303955078125
The 41-th PiT arch:, er score: 595.4356009960175
The 42-th PiT arch:, er score: 436.8854022026062
The 43-th PiT arch:, er score: 681.5675280094147
The 44-th PiT arch:, er score: 545.5089309215546
The 45-th PiT arch:, er score: 441.5328941345215
The 46-th PiT arch:, er score: 415.90516901016235
The 47-th PiT arch:, er score: 311.7838057279587
The 48-th PiT arch:, er score: 350.35113286972046
The 49-th PiT arch:, er score: 583.1452960968018
The 50-th PiT arch:, er score: 441.4207282066345
The 51-th PiT arch:, er score: 201.8333888053894
The 52-th PiT arch:, er score: 394.628821849823
The 53-th PiT arch:, er score: 735.4268476963043
The 54-th PiT arch:, er score: 297.05503273010254
The 55-th PiT arch:, er score: 339.0993528366089
The 56-th PiT arch:, er score: 239.44235229492188
The 57-th PiT arch:, er score: 454.6231851577759
The 58-th PiT arch:, er score: 735.0383615493774
The 59-th PiT arch:, er score: 227.96529483795166
The 60-th PiT arch:, er score: 310.3491852283478
The 61-th PiT arch:, er score: 401.93413758277893
The 62-th PiT arch:, er score: 512.8656833171844
The 63-th PiT arch:, er score: 406.7375795841217
The 64-th PiT arch:, er score: 272.94177508354187
The 65-th PiT arch:, er score: 531.6623961925507
The 66-th PiT arch:, er score: 237.16270995140076
The 67-th PiT arch:, er score: 627.688307762146
The 68-th PiT arch:, er score: 299.40532898902893
The 69-th PiT arch:, er score: 510.80530524253845
The 70-th PiT arch:, er score: 569.9848492145538
The 71-th PiT arch:, er score: 472.62265062332153
The 72-th PiT arch:, er score: 657.3497525453568
The 73-th PiT arch:, er score: 928.9036781787872
The 74-th PiT arch:, er score: 417.91599130630493
The 75-th PiT arch:, er score: 328.0352051258087
The 76-th PiT arch:, er score: 529.8703200817108
The 77-th PiT arch:, er score: 158.9161376953125
The 78-th PiT arch:, er score: 762.7166337966919
The 79-th PiT arch:, er score: 395.37151432037354
The 80-th PiT arch:, er score: 444.99242544174194
The 81-th PiT arch:, er score: 813.0221135616302
The 82-th PiT arch:, er score: 348.7869875431061
The 83-th PiT arch:, er score: 522.762702703476
The 84-th PiT arch:, er score: 590.4930720329285
The 85-th PiT arch:, er score: 594.061215877533
The 86-th PiT arch:, er score: 306.4508180618286
The 87-th PiT arch:, er score: 487.1150802373886
The 88-th PiT arch:, er score: 283.739488363266
The 89-th PiT arch:, er score: 263.18333101272583
The 90-th PiT arch:, er score: 245.28057479858398
The 91-th PiT arch:, er score: 282.49278604984283
The 92-th PiT arch:, er score: 511.66221380233765
The 93-th PiT arch:, er score: 572.5727491378784
The 94-th PiT arch:, er score: 507.28483271598816
The 95-th PiT arch:, er score: 1029.7671983242035
The 96-th PiT arch:, er score: 498.2723214626312
The 97-th PiT arch:, er score: 820.3522930145264
The 98-th PiT arch:, er score: 318.92476654052734
The 99-th PiT arch:, er score: 512.2075028419495
Rank consistency on dataset flowers: kendall: 0.3695169468623898, spearman: 0.48744351841414807, pearson: 0.44524876645916245
Finished, time cost: 0.11087426642576853 hour.
