save_dir            : ./work_dirs/rank/PiT_kd
gt_path             : ./gt_results/gt_pit.pth
refer_cfg           : configs/auto/pit/pit-ti_chaoyang_kd.yaml
other_zc            : er
ds                  : chaoyang
Build er ....
The 0-th PiT arch:, er score: 337.96829891204834
The 1-th PiT arch:, er score: 163.59275555610657
The 2-th PiT arch:, er score: 355.9611072540283
The 3-th PiT arch:, er score: 218.85585725307465
The 4-th PiT arch:, er score: 347.38598227500916
The 5-th PiT arch:, er score: 357.09742164611816
The 6-th PiT arch:, er score: 556.9162490367889
The 7-th PiT arch:, er score: 407.5589165687561
The 8-th PiT arch:, er score: 618.1549136638641
The 9-th PiT arch:, er score: 344.07692289352417
The 10-th PiT arch:, er score: 629.202867269516
The 11-th PiT arch:, er score: 390.3176953792572
The 12-th PiT arch:, er score: 307.8857275247574
The 13-th PiT arch:, er score: 355.993488073349
The 14-th PiT arch:, er score: 442.74634552001953
The 15-th PiT arch:, er score: 286.63455379009247
The 16-th PiT arch:, er score: 487.69529843330383
The 17-th PiT arch:, er score: 311.2109606266022
The 18-th PiT arch:, er score: 457.65994024276733
The 19-th PiT arch:, er score: 454.74430441856384
The 20-th PiT arch:, er score: 608.5014797449112
The 21-th PiT arch:, er score: 678.4923210144043
The 22-th PiT arch:, er score: 620.2564737796783
The 23-th PiT arch:, er score: 433.0621099472046
The 24-th PiT arch:, er score: 590.0911062955856
The 25-th PiT arch:, er score: 149.3445703983307
The 26-th PiT arch:, er score: 402.3315603733063
The 27-th PiT arch:, er score: 569.0670139789581
The 28-th PiT arch:, er score: 479.1693608760834
The 29-th PiT arch:, er score: 195.76245939731598
The 30-th PiT arch:, er score: 276.9401624202728
The 31-th PiT arch:, er score: 232.26533246040344
The 32-th PiT arch:, er score: 351.26803040504456
The 33-th PiT arch:, er score: 603.5044960975647
The 34-th PiT arch:, er score: 703.6457166671753
The 35-th PiT arch:, er score: 473.1096045970917
The 36-th PiT arch:, er score: 225.75189805030823
The 37-th PiT arch:, er score: 308.2330265045166
The 38-th PiT arch:, er score: 498.49992537498474
The 39-th PiT arch:, er score: 307.14513778686523
The 40-th PiT arch:, er score: 240.50542545318604
The 41-th PiT arch:, er score: 581.7340197563171
The 42-th PiT arch:, er score: 461.0422487258911
The 43-th PiT arch:, er score: 691.3528199195862
The 44-th PiT arch:, er score: 529.7907087802887
The 45-th PiT arch:, er score: 429.2047002315521
The 46-th PiT arch:, er score: 411.8206605911255
The 47-th PiT arch:, er score: 320.0395984649658
The 48-th PiT arch:, er score: 348.0782368183136
The 49-th PiT arch:, er score: 569.5025386810303
The 50-th PiT arch:, er score: 428.07510137557983
The 51-th PiT arch:, er score: 209.88186717033386
The 52-th PiT arch:, er score: 410.0128164291382
The 53-th PiT arch:, er score: 733.523754119873
The 54-th PiT arch:, er score: 298.7259452342987
The 55-th PiT arch:, er score: 309.74260354042053
The 56-th PiT arch:, er score: 250.2534885406494
The 57-th PiT arch:, er score: 470.1585078239441
The 58-th PiT arch:, er score: 728.2554712295532
The 59-th PiT arch:, er score: 223.68107795715332
The 60-th PiT arch:, er score: 318.2668228149414
The 61-th PiT arch:, er score: 394.6467831134796
The 62-th PiT arch:, er score: 525.2767796516418
The 63-th PiT arch:, er score: 406.64781951904297
The 64-th PiT arch:, er score: 277.86607694625854
The 65-th PiT arch:, er score: 556.6535441875458
The 66-th PiT arch:, er score: 234.277325630188
The 67-th PiT arch:, er score: 643.0626213550568
The 68-th PiT arch:, er score: 296.5630339384079
The 69-th PiT arch:, er score: 486.1897201538086
The 70-th PiT arch:, er score: 542.2911882400513
The 71-th PiT arch:, er score: 471.662522315979
The 72-th PiT arch:, er score: 672.0693917274475
The 73-th PiT arch:, er score: 938.9327714443207
The 74-th PiT arch:, er score: 417.50987792015076
The 75-th PiT arch:, er score: 352.1605079174042
The 76-th PiT arch:, er score: 544.4643728733063
The 77-th PiT arch:, er score: 160.53927171230316
The 78-th PiT arch:, er score: 807.6624410152435
The 79-th PiT arch:, er score: 406.786349773407
The 80-th PiT arch:, er score: 428.58888721466064
The 81-th PiT arch:, er score: 812.6979742050171
The 82-th PiT arch:, er score: 362.46776485443115
The 83-th PiT arch:, er score: 522.4512751102448
The 84-th PiT arch:, er score: 590.1759026050568
The 85-th PiT arch:, er score: 585.6478493213654
The 86-th PiT arch:, er score: 321.8785972595215
The 87-th PiT arch:, er score: 496.9644560813904
The 88-th PiT arch:, er score: 270.9579176902771
The 89-th PiT arch:, er score: 264.4534225463867
The 90-th PiT arch:, er score: 263.79754543304443
The 91-th PiT arch:, er score: 289.95008087158203
The 92-th PiT arch:, er score: 511.26357674598694
The 93-th PiT arch:, er score: 587.8076927661896
The 94-th PiT arch:, er score: 488.7251629829407
The 95-th PiT arch:, er score: 1019.1269505023956
The 96-th PiT arch:, er score: 497.2698040008545
The 97-th PiT arch:, er score: 774.8260252475739
The 98-th PiT arch:, er score: 327.3108961582184
The 99-th PiT arch:, er score: 482.479856967926
Rank consistency on dataset chaoyang: kendall: 0.3533863013621646, spearman: 0.5021776982374709, pearson: 0.43133842488585483
Finished, time cost: 0.1145805522468355 hour.
