save_dir            : ./work_dirs/rank/PiT/flowers/kd
gt_path             : ./gt_results/gt_pit.pth
refer_cfg           : configs/auto/pit/pit-ti_flowers_kd.yaml
other_zc            : er
ds                  : flowers
acc_type            : kd
Build er ....
The 0-th PiT arch:, er score: 298.8044853210449
The 1-th PiT arch:, er score: 326.33381259441376
The 2-th PiT arch:, er score: 331.9292149543762
The 3-th PiT arch:, er score: 207.70345759391785
The 4-th PiT arch:, er score: 282.4935083389282
The 5-th PiT arch:, er score: 343.31127977371216
The 6-th PiT arch:, er score: 480.8580605983734
The 7-th PiT arch:, er score: 349.3080805540085
The 8-th PiT arch:, er score: 796.5959802865982
The 9-th PiT arch:, er score: 281.87092542648315
The 10-th PiT arch:, er score: 476.9130036830902
The 11-th PiT arch:, er score: 341.5799083709717
The 12-th PiT arch:, er score: 286.75258934497833
The 13-th PiT arch:, er score: 331.9244085550308
The 14-th PiT arch:, er score: 343.3774094581604
The 15-th PiT arch:, er score: 265.09742736816406
The 16-th PiT arch:, er score: 385.22576582431793
The 17-th PiT arch:, er score: 272.4210772514343
The 18-th PiT arch:, er score: 436.4506196975708
The 19-th PiT arch:, er score: 391.25716853141785
The 20-th PiT arch:, er score: 526.5771782398224
The 21-th PiT arch:, er score: 607.3176066875458
The 22-th PiT arch:, er score: 541.5743618011475
The 23-th PiT arch:, er score: 567.3092842102051
The 24-th PiT arch:, er score: 534.8095600605011
The 25-th PiT arch:, er score: 382.33259987831116
The 26-th PiT arch:, er score: 359.87356400489807
The 27-th PiT arch:, er score: 429.19303143024445
The 28-th PiT arch:, er score: 411.2861032485962
The 29-th PiT arch:, er score: 185.90501046180725
The 30-th PiT arch:, er score: 283.0730962753296
The 31-th PiT arch:, er score: 205.58634161949158
The 32-th PiT arch:, er score: 493.7416305541992
The 33-th PiT arch:, er score: 459.7128278017044
The 34-th PiT arch:, er score: 607.2835077047348
The 35-th PiT arch:, er score: 439.51032066345215
The 36-th PiT arch:, er score: 224.98265171051025
The 37-th PiT arch:, er score: 249.97520518302917
The 38-th PiT arch:, er score: 414.1515254974365
The 39-th PiT arch:, er score: 271.31137704849243
The 40-th PiT arch:, er score: 198.75749909877777
The 41-th PiT arch:, er score: 547.8198401927948
The 42-th PiT arch:, er score: 584.6682106256485
The 43-th PiT arch:, er score: 600.4698493480682
The 44-th PiT arch:, er score: 472.81277203559875
The 45-th PiT arch:, er score: 382.3343404531479
The 46-th PiT arch:, er score: 670.7146465778351
The 47-th PiT arch:, er score: 273.0352119207382
The 48-th PiT arch:, er score: 332.3681529760361
The 49-th PiT arch:, er score: 486.04658365249634
The 50-th PiT arch:, er score: 354.874840259552
The 51-th PiT arch:, er score: 350.0999207496643
The 52-th PiT arch:, er score: 349.24084544181824
The 53-th PiT arch:, er score: 564.8609771728516
The 54-th PiT arch:, er score: 533.1328821182251
The 55-th PiT arch:, er score: 589.747835278511
The 56-th PiT arch:, er score: 250.32764339447021
The 57-th PiT arch:, er score: 385.3535476922989
The 58-th PiT arch:, er score: 639.222675204277
The 59-th PiT arch:, er score: 199.46952152252197
The 60-th PiT arch:, er score: 267.02792525291443
The 61-th PiT arch:, er score: 385.21586287021637
The 62-th PiT arch:, er score: 644.5028357505798
The 63-th PiT arch:, er score: 377.8715648651123
The 64-th PiT arch:, er score: 280.9202914237976
The 65-th PiT arch:, er score: 680.0592966079712
The 66-th PiT arch:, er score: 464.12000262737274
The 67-th PiT arch:, er score: 534.8122458457947
The 68-th PiT arch:, er score: 255.13653874397278
The 69-th PiT arch:, er score: 724.0271487236023
The 70-th PiT arch:, er score: 440.74154472351074
The 71-th PiT arch:, er score: 428.35365772247314
The 72-th PiT arch:, er score: 489.4330790042877
The 73-th PiT arch:, er score: 784.9116051197052
The 74-th PiT arch:, er score: 334.5413031578064
The 75-th PiT arch:, er score: 340.86050748825073
The 76-th PiT arch:, er score: 658.607569694519
The 77-th PiT arch:, er score: 160.79975879192352
The 78-th PiT arch:, er score: 690.5860147476196
The 79-th PiT arch:, er score: 390.5530432462692
The 80-th PiT arch:, er score: 385.166326880455
The 81-th PiT arch:, er score: 662.8010456562042
The 82-th PiT arch:, er score: 281.6857656240463
The 83-th PiT arch:, er score: 460.27976763248444
The 84-th PiT arch:, er score: 482.8972566127777
The 85-th PiT arch:, er score: 532.1084425449371
The 86-th PiT arch:, er score: 266.5913963317871
The 87-th PiT arch:, er score: 417.6027247905731
The 88-th PiT arch:, er score: 242.95629143714905
The 89-th PiT arch:, er score: 246.32726502418518
The 90-th PiT arch:, er score: 242.21629428863525
The 91-th PiT arch:, er score: 258.7007598876953
The 92-th PiT arch:, er score: 400.9411071538925
The 93-th PiT arch:, er score: 536.6598654985428
The 94-th PiT arch:, er score: 418.1365931034088
The 95-th PiT arch:, er score: 872.6611623764038
The 96-th PiT arch:, er score: 427.979887008667
The 97-th PiT arch:, er score: 719.6435695886612
The 98-th PiT arch:, er score: 405.80972170829773
The 99-th PiT arch:, er score: 390.20478785037994
Rank consistency on dataset flowers: kendall: 0.5562968477928318, spearman: 0.7639201427006083, pearson: 0.612280421286807
Finished, time cost: 0.15211173156897226 hour.
