save_dir            : ./work_dirs/rank/PiT/flowers/base
gt_path             : ./gt_results/gt_pit.pth
refer_cfg           : configs/auto/pit/pit-ti_flowers_base.yaml
other_zc            : er
ds                  : flowers
acc_type            : base
Build er ....
The 0-th PiT arch:, er score: 292.85481810569763
The 1-th PiT arch:, er score: 358.815372467041
The 2-th PiT arch:, er score: 329.1861605644226
The 3-th PiT arch:, er score: 209.44601774215698
The 4-th PiT arch:, er score: 289.8062686920166
The 5-th PiT arch:, er score: 348.5973787307739
The 6-th PiT arch:, er score: 472.1832797527313
The 7-th PiT arch:, er score: 354.06291568279266
The 8-th PiT arch:, er score: 791.2722599506378
The 9-th PiT arch:, er score: 278.91602849960327
The 10-th PiT arch:, er score: 485.25111722946167
The 11-th PiT arch:, er score: 342.36673641204834
The 12-th PiT arch:, er score: 292.7061312198639
The 13-th PiT arch:, er score: 331.5407484769821
The 14-th PiT arch:, er score: 339.5899487733841
The 15-th PiT arch:, er score: 242.9985568523407
The 16-th PiT arch:, er score: 384.7132520675659
The 17-th PiT arch:, er score: 271.5080714225769
The 18-th PiT arch:, er score: 427.8371391296387
The 19-th PiT arch:, er score: 391.9110600948334
The 20-th PiT arch:, er score: 521.6946897506714
The 21-th PiT arch:, er score: 626.0222902297974
The 22-th PiT arch:, er score: 536.6337382793427
The 23-th PiT arch:, er score: 578.3374890089035
The 24-th PiT arch:, er score: 531.0401704311371
The 25-th PiT arch:, er score: 406.3162157535553
The 26-th PiT arch:, er score: 360.4251515865326
The 27-th PiT arch:, er score: 436.9816778898239
The 28-th PiT arch:, er score: 415.176598072052
The 29-th PiT arch:, er score: 194.65509605407715
The 30-th PiT arch:, er score: 277.6860888004303
The 31-th PiT arch:, er score: 216.6327645778656
The 32-th PiT arch:, er score: 494.27174139022827
The 33-th PiT arch:, er score: 457.1788214445114
The 34-th PiT arch:, er score: 615.6023602485657
The 35-th PiT arch:, er score: 432.5241096019745
The 36-th PiT arch:, er score: 223.64324927330017
The 37-th PiT arch:, er score: 264.0922260284424
The 38-th PiT arch:, er score: 424.03648233413696
The 39-th PiT arch:, er score: 273.5457264184952
The 40-th PiT arch:, er score: 214.48632884025574
The 41-th PiT arch:, er score: 537.7594225406647
The 42-th PiT arch:, er score: 599.4227578639984
The 43-th PiT arch:, er score: 608.8996517658234
The 44-th PiT arch:, er score: 476.2297902107239
The 45-th PiT arch:, er score: 394.07366609573364
The 46-th PiT arch:, er score: 695.8071587085724
The 47-th PiT arch:, er score: 272.630743265152
The 48-th PiT arch:, er score: 334.703654050827
The 49-th PiT arch:, er score: 480.54123878479004
The 50-th PiT arch:, er score: 347.74513721466064
The 51-th PiT arch:, er score: 336.196182012558
The 52-th PiT arch:, er score: 352.88907051086426
The 53-th PiT arch:, er score: 571.2132436037064
The 54-th PiT arch:, er score: 539.0125226974487
The 55-th PiT arch:, er score: 587.554517865181
The 56-th PiT arch:, er score: 249.93493270874023
The 57-th PiT arch:, er score: 386.2332388162613
The 58-th PiT arch:, er score: 635.9595420360565
The 59-th PiT arch:, er score: 208.23022890090942
The 60-th PiT arch:, er score: 267.0960056781769
The 61-th PiT arch:, er score: 375.7626667022705
The 62-th PiT arch:, er score: 713.2685828208923
The 63-th PiT arch:, er score: 390.8363687992096
The 64-th PiT arch:, er score: 277.2773765325546
The 65-th PiT arch:, er score: 654.6039292812347
The 66-th PiT arch:, er score: 483.66234159469604
The 67-th PiT arch:, er score: 536.5700721740723
The 68-th PiT arch:, er score: 266.72243213653564
The 69-th PiT arch:, er score: 718.3571381568909
The 70-th PiT arch:, er score: 422.4819574356079
The 71-th PiT arch:, er score: 441.7872848510742
The 72-th PiT arch:, er score: 477.29417729377747
The 73-th PiT arch:, er score: 784.4991512298584
The 74-th PiT arch:, er score: 328.3167886734009
The 75-th PiT arch:, er score: 333.7171473503113
The 76-th PiT arch:, er score: 660.0006475448608
The 77-th PiT arch:, er score: 162.04012775421143
The 78-th PiT arch:, er score: 686.6941690444946
The 79-th PiT arch:, er score: 382.73588156700134
The 80-th PiT arch:, er score: 384.39411067962646
The 81-th PiT arch:, er score: 673.4959561824799
The 82-th PiT arch:, er score: 285.6154547929764
The 83-th PiT arch:, er score: 474.68061876296997
The 84-th PiT arch:, er score: 472.6735006570816
The 85-th PiT arch:, er score: 530.5932192802429
The 86-th PiT arch:, er score: 264.4053645133972
The 87-th PiT arch:, er score: 409.97348499298096
The 88-th PiT arch:, er score: 242.43623733520508
The 89-th PiT arch:, er score: 273.8148946762085
The 90-th PiT arch:, er score: 247.7216272354126
The 91-th PiT arch:, er score: 265.0583040714264
The 92-th PiT arch:, er score: 398.6491013765335
The 93-th PiT arch:, er score: 537.6826138496399
The 94-th PiT arch:, er score: 430.31047773361206
The 95-th PiT arch:, er score: 874.4648908376694
The 96-th PiT arch:, er score: 426.67793321609497
The 97-th PiT arch:, er score: 717.8049919605255
The 98-th PiT arch:, er score: 387.61624813079834
The 99-th PiT arch:, er score: 393.34223103523254
Rank consistency on dataset flowers: kendall: 0.600383982316312, spearman: 0.8024254644081222, pearson: 0.6689765959901485
Finished, time cost: 0.1358273955186208 hour.
