save_dir            : ./work_dirs/rank/PiT/flowers/base
gt_path             : ./gt_results/gt_pit.pth
refer_cfg           : configs/auto/pit/pit-ti_flowers_base.yaml
other_zc            : er
ds                  : flowers
acc_type            : base
Build er ....
The 0-th PiT arch:, er score: 116.45575726032257
The 1-th PiT arch:, er score: 59.69808757305145
The 2-th PiT arch:, er score: 147.69144749641418
The 3-th PiT arch:, er score: 100.35525321960449
The 4-th PiT arch:, er score: 102.52147698402405
The 5-th PiT arch:, er score: 157.6681387424469
The 6-th PiT arch:, er score: 171.52034199237823
The 7-th PiT arch:, er score: 136.04392528533936
The 8-th PiT arch:, er score: 355.7978152036667
The 9-th PiT arch:, er score: 89.25930786132812
The 10-th PiT arch:, er score: 89.60143458843231
The 11-th PiT arch:, er score: 129.82693886756897
The 12-th PiT arch:, er score: 133.01183152198792
The 13-th PiT arch:, er score: 162.9863166809082
The 14-th PiT arch:, er score: 103.4670295715332
The 15-th PiT arch:, er score: 97.07708477973938
The 16-th PiT arch:, er score: 104.48855710029602
The 17-th PiT arch:, er score: 81.32044684886932
The 18-th PiT arch:, er score: 124.25843834877014
The 19-th PiT arch:, er score: 143.24302506446838
The 20-th PiT arch:, er score: 162.7570503950119
The 21-th PiT arch:, er score: 221.6122943162918
The 22-th PiT arch:, er score: 171.74050676822662
The 23-th PiT arch:, er score: 268.4935847520828
The 24-th PiT arch:, er score: 232.6166945695877
The 25-th PiT arch:, er score: 56.714715361595154
The 26-th PiT arch:, er score: 126.5358122587204
The 27-th PiT arch:, er score: 141.2065556049347
The 28-th PiT arch:, er score: 136.59637534618378
The 29-th PiT arch:, er score: 97.53086519241333
The 30-th PiT arch:, er score: 128.1238374710083
The 31-th PiT arch:, er score: 103.94736111164093
The 32-th PiT arch:, er score: 186.7889485359192
The 33-th PiT arch:, er score: 122.09968590736389
The 34-th PiT arch:, er score: 240.238130569458
The 35-th PiT arch:, er score: 180.04371583461761
The 36-th PiT arch:, er score: 125.8717657327652
The 37-th PiT arch:, er score: 90.85355472564697
The 38-th PiT arch:, er score: 135.101269364357
The 39-th PiT arch:, er score: 117.39368796348572
The 40-th PiT arch:, er score: 88.65993559360504
The 41-th PiT arch:, er score: 209.59469151496887
The 42-th PiT arch:, er score: 259.235822558403
The 43-th PiT arch:, er score: 214.72748517990112
The 44-th PiT arch:, er score: 166.55475080013275
The 45-th PiT arch:, er score: 144.65288615226746
The 46-th PiT arch:, er score: 216.73942279815674
The 47-th PiT arch:, er score: 125.5413385629654
The 48-th PiT arch:, er score: 144.16562736034393
The 49-th PiT arch:, er score: 125.39599561691284
The 50-th PiT arch:, er score: 73.66232717037201
The 51-th PiT arch:, er score: 91.13140761852264
The 52-th PiT arch:, er score: 133.22324395179749
The 53-th PiT arch:, er score: 182.87767791748047
The 54-th PiT arch:, er score: 149.34638226032257
The 55-th PiT arch:, er score: 157.93502795696259
The 56-th PiT arch:, er score: 136.57392406463623
The 57-th PiT arch:, er score: 122.90630578994751
The 58-th PiT arch:, er score: 152.02021741867065
The 59-th PiT arch:, er score: 109.26155042648315
The 60-th PiT arch:, er score: 97.38997220993042
The 61-th PiT arch:, er score: 140.1990317106247
The 62-th PiT arch:, er score: 290.13464295864105
The 63-th PiT arch:, er score: 171.49879324436188
The 64-th PiT arch:, er score: 115.2735093832016
The 65-th PiT arch:, er score: 300.5926115512848
The 66-th PiT arch:, er score: 107.19992136955261
The 67-th PiT arch:, er score: 137.93565320968628
The 68-th PiT arch:, er score: 84.0002259016037
The 69-th PiT arch:, er score: 253.3811845779419
The 70-th PiT arch:, er score: 80.43294215202332
The 71-th PiT arch:, er score: 181.53040647506714
The 72-th PiT arch:, er score: 146.44681406021118
The 73-th PiT arch:, er score: 213.72041404247284
The 74-th PiT arch:, er score: 91.53445315361023
The 75-th PiT arch:, er score: 141.58222925662994
The 76-th PiT arch:, er score: 288.9241164922714
The 77-th PiT arch:, er score: 94.12382817268372
The 78-th PiT arch:, er score: 213.4500263929367
The 79-th PiT arch:, er score: 193.73649632930756
The 80-th PiT arch:, er score: 172.8201687335968
The 81-th PiT arch:, er score: 198.39835500717163
The 82-th PiT arch:, er score: 90.81338095664978
The 83-th PiT arch:, er score: 163.5338408946991
The 84-th PiT arch:, er score: 117.6640636920929
The 85-th PiT arch:, er score: 177.39896070957184
The 86-th PiT arch:, er score: 102.10450446605682
The 87-th PiT arch:, er score: 127.08339977264404
The 88-th PiT arch:, er score: 93.66433787345886
The 89-th PiT arch:, er score: 124.75170874595642
The 90-th PiT arch:, er score: 137.57737720012665
The 91-th PiT arch:, er score: 123.58018481731415
The 92-th PiT arch:, er score: 89.36211585998535
The 93-th PiT arch:, er score: 227.83020329475403
The 94-th PiT arch:, er score: 148.75611209869385
The 95-th PiT arch:, er score: 296.413605093956
The 96-th PiT arch:, er score: 128.64695000648499
The 97-th PiT arch:, er score: 245.44084441661835
The 98-th PiT arch:, er score: 169.04272651672363
The 99-th PiT arch:, er score: 155.7083659172058
Rank consistency on dataset flowers: kendall: 0.31666162917861357, spearman: 0.4540514916309788, pearson: 0.40104846011615736
Finished, time cost: 0.09650977889696757 hour.
