save_dir            : ./work_dirs/rank/AutoFormerSub/cifar100/kd
gt_path             : ./gt_results/gt_autoformer_2.pth
refer_cfg           : ./configs/auto/autoformer/autoformer-ti-subnet_c100_kd.yaml
other_zc            : er
ds                  : cifar100
acc_type            : kd
Build er ....
The 0-th AutoFormerSub arch:, er score: 1407.7822570800781
The 1-th AutoFormerSub arch:, er score: 1506.8882293701172
The 2-th AutoFormerSub arch:, er score: 1365.8100051879883
The 3-th AutoFormerSub arch:, er score: 1412.0812301635742
The 4-th AutoFormerSub arch:, er score: 1263.9120559692383
The 5-th AutoFormerSub arch:, er score: 1501.1660919189453
The 6-th AutoFormerSub arch:, er score: 1220.6889114379883
The 7-th AutoFormerSub arch:, er score: 1409.3596878051758
The 8-th AutoFormerSub arch:, er score: 1302.4772720336914
The 9-th AutoFormerSub arch:, er score: 1311.1396865844727
The 10-th AutoFormerSub arch:, er score: 1217.7838745117188
The 11-th AutoFormerSub arch:, er score: 1312.010238647461
The 12-th AutoFormerSub arch:, er score: 1313.4084014892578
The 13-th AutoFormerSub arch:, er score: 1407.9098281860352
The 14-th AutoFormerSub arch:, er score: 1510.6016540527344
The 15-th AutoFormerSub arch:, er score: 1314.662223815918
The 16-th AutoFormerSub arch:, er score: 1405.4163055419922
The 17-th AutoFormerSub arch:, er score: 1407.931785583496
The 18-th AutoFormerSub arch:, er score: 1219.6734161376953
The 19-th AutoFormerSub arch:, er score: 1410.8854370117188
The 20-th AutoFormerSub arch:, er score: 1310.1615447998047
The 21-th AutoFormerSub arch:, er score: 1306.6589660644531
The 22-th AutoFormerSub arch:, er score: 1219.6030197143555
The 23-th AutoFormerSub arch:, er score: 1311.2995223999023
The 24-th AutoFormerSub arch:, er score: 1399.4861145019531
The 25-th AutoFormerSub arch:, er score: 1409.7687911987305
The 26-th AutoFormerSub arch:, er score: 1469.0452575683594
The 27-th AutoFormerSub arch:, er score: 1215.8761672973633
The 28-th AutoFormerSub arch:, er score: 1409.4885330200195
The 29-th AutoFormerSub arch:, er score: 1411.9871673583984
The 30-th AutoFormerSub arch:, er score: 1218.9007949829102
The 31-th AutoFormerSub arch:, er score: 1311.8228454589844
The 32-th AutoFormerSub arch:, er score: 1269.6078414916992
The 33-th AutoFormerSub arch:, er score: 1298.4280624389648
The 34-th AutoFormerSub arch:, er score: 1304.3600463867188
The 35-th AutoFormerSub arch:, er score: 1408.0642318725586
The 36-th AutoFormerSub arch:, er score: 1307.0845184326172
The 37-th AutoFormerSub arch:, er score: 1266.1955795288086
The 38-th AutoFormerSub arch:, er score: 1308.7886962890625
The 39-th AutoFormerSub arch:, er score: 1270.6252517700195
The 40-th AutoFormerSub arch:, er score: 1408.4639129638672
The 41-th AutoFormerSub arch:, er score: 1217.1178436279297
The 42-th AutoFormerSub arch:, er score: 1315.4214248657227
The 43-th AutoFormerSub arch:, er score: 1409.8406066894531
The 44-th AutoFormerSub arch:, er score: 1366.260841369629
The 45-th AutoFormerSub arch:, er score: 1364.2455978393555
The 46-th AutoFormerSub arch:, er score: 1311.279312133789
The 47-th AutoFormerSub arch:, er score: 1312.780044555664
