save_dir            : ./work_dirs/rank/AutoFormerSub/cifar100/kd
gt_path             : ./gt_results/gt_autoformer_2.pth
refer_cfg           : ./configs/auto/autoformer/autoformer-ti-subnet_c100_kd.yaml
other_zc            : er
ds                  : cifar100
acc_type            : kd
Build er ....
The 0-th AutoFormerSub arch:, er score: 1406.7786178588867
The 1-th AutoFormerSub arch:, er score: 1504.8086853027344
The 2-th AutoFormerSub arch:, er score: 1364.2821807861328
The 3-th AutoFormerSub arch:, er score: 1406.6219024658203
The 4-th AutoFormerSub arch:, er score: 1268.7934265136719
The 5-th AutoFormerSub arch:, er score: 1504.2441329956055
The 6-th AutoFormerSub arch:, er score: 1219.5814056396484
The 7-th AutoFormerSub arch:, er score: 1405.2581481933594
The 8-th AutoFormerSub arch:, er score: 1304.1914749145508
The 9-th AutoFormerSub arch:, er score: 1311.423095703125
The 10-th AutoFormerSub arch:, er score: 1218.5064392089844
The 11-th AutoFormerSub arch:, er score: 1313.1776580810547
The 12-th AutoFormerSub arch:, er score: 1313.5165100097656
The 13-th AutoFormerSub arch:, er score: 1407.2746124267578
The 14-th AutoFormerSub arch:, er score: 1505.8842391967773
The 15-th AutoFormerSub arch:, er score: 1311.5882034301758
The 16-th AutoFormerSub arch:, er score: 1402.2843780517578
The 17-th AutoFormerSub arch:, er score: 1406.5570220947266
The 18-th AutoFormerSub arch:, er score: 1214.8689041137695
The 19-th AutoFormerSub arch:, er score: 1411.3437042236328
The 20-th AutoFormerSub arch:, er score: 1311.5634384155273
The 21-th AutoFormerSub arch:, er score: 1303.4473342895508
The 22-th AutoFormerSub arch:, er score: 1218.2502746582031
The 23-th AutoFormerSub arch:, er score: 1309.9339294433594
The 24-th AutoFormerSub arch:, er score: 1403.0112075805664
The 25-th AutoFormerSub arch:, er score: 1412.3036346435547
The 26-th AutoFormerSub arch:, er score: 1457.394157409668
The 27-th AutoFormerSub arch:, er score: 1216.9775085449219
The 28-th AutoFormerSub arch:, er score: 1408.4999237060547
The 29-th AutoFormerSub arch:, er score: 1409.272689819336
The 30-th AutoFormerSub arch:, er score: 1220.0377807617188
The 31-th AutoFormerSub arch:, er score: 1312.9677276611328
The 32-th AutoFormerSub arch:, er score: 1267.7249908447266
The 33-th AutoFormerSub arch:, er score: 1302.0978927612305
The 34-th AutoFormerSub arch:, er score: 1306.4534606933594
The 35-th AutoFormerSub arch:, er score: 1405.8084716796875
The 36-th AutoFormerSub arch:, er score: 1310.4322662353516
The 37-th AutoFormerSub arch:, er score: 1267.140609741211
The 38-th AutoFormerSub arch:, er score: 1301.8197937011719
The 39-th AutoFormerSub arch:, er score: 1271.5423278808594
The 40-th AutoFormerSub arch:, er score: 1407.6029434204102
The 41-th AutoFormerSub arch:, er score: 1219.1697540283203
The 42-th AutoFormerSub arch:, er score: 1310.1147842407227
The 43-th AutoFormerSub arch:, er score: 1406.3258438110352
The 44-th AutoFormerSub arch:, er score: 1361.6462860107422
The 45-th AutoFormerSub arch:, er score: 1364.5663452148438
The 46-th AutoFormerSub arch:, er score: 1314.3374404907227
The 47-th AutoFormerSub arch:, er score: 1309.1805267333984
The 48-th AutoFormerSub arch:, er score: 1509.5560302734375
The 49-th AutoFormerSub arch:, er score: 1264.0397415161133
The 50-th AutoFormerSub arch:, er score: 1413.062240600586
The 51-th AutoFormerSub arch:, er score: 1461.3158340454102
The 52-th AutoFormerSub arch:, er score: 1311.9386672973633
The 53-th AutoFormerSub arch:, er score: 1215.5914611816406
The 54-th AutoFormerSub arch:, er score: 1508.779769897461
The 55-th AutoFormerSub arch:, er score: 1463.2513580322266
The 56-th AutoFormerSub arch:, er score: 1505.4365844726562
The 57-th AutoFormerSub arch:, er score: 1220.3571090698242
The 58-th AutoFormerSub arch:, er score: 1465.9663925170898
The 59-th AutoFormerSub arch:, er score: 1508.3309020996094
The 60-th AutoFormerSub arch:, er score: 1409.5047073364258
The 61-th AutoFormerSub arch:, er score: 1267.5051574707031
The 62-th AutoFormerSub arch:, er score: 1362.1236724853516
The 63-th AutoFormerSub arch:, er score: 1263.6214752197266
The 64-th AutoFormerSub arch:, er score: 1409.425392150879
The 65-th AutoFormerSub arch:, er score: 1401.4997863769531
The 66-th AutoFormerSub arch:, er score: 1364.295555114746
The 67-th AutoFormerSub arch:, er score: 1305.172966003418
The 68-th AutoFormerSub arch:, er score: 1413.5651092529297
The 69-th AutoFormerSub arch:, er score: 1306.0385055541992
The 70-th AutoFormerSub arch:, er score: 1405.076301574707
The 71-th AutoFormerSub arch:, er score: 1312.915786743164
The 72-th AutoFormerSub arch:, er score: 1317.2886428833008
The 73-th AutoFormerSub arch:, er score: 1506.341209411621
The 74-th AutoFormerSub arch:, er score: 1508.1882400512695
The 75-th AutoFormerSub arch:, er score: 1304.362648010254
The 76-th AutoFormerSub arch:, er score: 1310.9976501464844
The 77-th AutoFormerSub arch:, er score: 1505.8377532958984
The 78-th AutoFormerSub arch:, er score: 1364.856788635254
The 79-th AutoFormerSub arch:, er score: 1221.1491241455078
The 80-th AutoFormerSub arch:, er score: 1269.8608856201172
The 81-th AutoFormerSub arch:, er score: 1313.482650756836
The 82-th AutoFormerSub arch:, er score: 1312.084716796875
The 83-th AutoFormerSub arch:, er score: 1410.522804260254
The 84-th AutoFormerSub arch:, er score: 1312.870491027832
The 85-th AutoFormerSub arch:, er score: 1308.3314056396484
The 86-th AutoFormerSub arch:, er score: 1363.6449966430664
The 87-th AutoFormerSub arch:, er score: 1462.6753540039062
The 88-th AutoFormerSub arch:, er score: 1299.9963989257812
The 89-th AutoFormerSub arch:, er score: 1458.1800842285156
The 90-th AutoFormerSub arch:, er score: 1312.1157531738281
The 91-th AutoFormerSub arch:, er score: 1309.3662490844727
The 92-th AutoFormerSub arch:, er score: 1462.8116302490234
The 93-th AutoFormerSub arch:, er score: 1269.4263153076172
The 94-th AutoFormerSub arch:, er score: 1305.0458068847656
The 95-th AutoFormerSub arch:, er score: 1303.6147766113281
The 96-th AutoFormerSub arch:, er score: 1313.6789474487305
The 97-th AutoFormerSub arch:, er score: 1215.4195175170898
The 98-th AutoFormerSub arch:, er score: 1394.6399612426758
The 99-th AutoFormerSub arch:, er score: 1216.5736083984375
Rank consistency on dataset cifar100: kendall: 0.7847902219350741, spearman: 0.9368382212253148, pearson: 0.910799004122302
Finished, time cost: 0.16654753936661615 hour.
