save_dir            : ./work_dirs/rank/AutoFormerSub/cifar100/kd
gt_path             : ./gt_results/gt_autoformer_2.pth
refer_cfg           : ./configs/auto/autoformer/autoformer-ti-subnet_c100_kd.yaml
other_zc            : er
ds                  : cifar100
acc_type            : kd
Build er ....
The 0-th AutoFormerSub arch:, er score: 1413.410385131836
The 1-th AutoFormerSub arch:, er score: 1504.4722290039062
The 2-th AutoFormerSub arch:, er score: 1365.7399215698242
The 3-th AutoFormerSub arch:, er score: 1405.8214797973633
The 4-th AutoFormerSub arch:, er score: 1269.7264709472656
The 5-th AutoFormerSub arch:, er score: 1506.666130065918
The 6-th AutoFormerSub arch:, er score: 1220.881690979004
The 7-th AutoFormerSub arch:, er score: 1410.0044403076172
The 8-th AutoFormerSub arch:, er score: 1302.4637145996094
The 9-th AutoFormerSub arch:, er score: 1314.1012954711914
The 10-th AutoFormerSub arch:, er score: 1218.4511032104492
The 11-th AutoFormerSub arch:, er score: 1313.0653533935547
The 12-th AutoFormerSub arch:, er score: 1309.7645568847656
The 13-th AutoFormerSub arch:, er score: 1410.2758331298828
The 14-th AutoFormerSub arch:, er score: 1501.014892578125
The 15-th AutoFormerSub arch:, er score: 1307.6088256835938
The 16-th AutoFormerSub arch:, er score: 1407.375991821289
The 17-th AutoFormerSub arch:, er score: 1404.4673309326172
The 18-th AutoFormerSub arch:, er score: 1213.1191787719727
The 19-th AutoFormerSub arch:, er score: 1414.8351745605469
The 20-th AutoFormerSub arch:, er score: 1310.6850357055664
The 21-th AutoFormerSub arch:, er score: 1302.7975845336914
The 22-th AutoFormerSub arch:, er score: 1219.443946838379
The 23-th AutoFormerSub arch:, er score: 1314.8596954345703
The 24-th AutoFormerSub arch:, er score: 1403.8945236206055
The 25-th AutoFormerSub arch:, er score: 1413.1575622558594
The 26-th AutoFormerSub arch:, er score: 1464.5438385009766
The 27-th AutoFormerSub arch:, er score: 1218.907096862793
The 28-th AutoFormerSub arch:, er score: 1407.2013626098633
The 29-th AutoFormerSub arch:, er score: 1408.7084655761719
The 30-th AutoFormerSub arch:, er score: 1219.5404510498047
The 31-th AutoFormerSub arch:, er score: 1311.9302444458008
The 32-th AutoFormerSub arch:, er score: 1268.5923538208008
The 33-th AutoFormerSub arch:, er score: 1305.2412719726562
The 34-th AutoFormerSub arch:, er score: 1303.5860900878906
The 35-th AutoFormerSub arch:, er score: 1410.1495208740234
The 36-th AutoFormerSub arch:, er score: 1312.8003311157227
The 37-th AutoFormerSub arch:, er score: 1270.3071365356445
The 38-th AutoFormerSub arch:, er score: 1308.0770950317383
The 39-th AutoFormerSub arch:, er score: 1265.938735961914
The 40-th AutoFormerSub arch:, er score: 1409.828353881836
The 41-th AutoFormerSub arch:, er score: 1212.742820739746
The 42-th AutoFormerSub arch:, er score: 1313.0510711669922
The 43-th AutoFormerSub arch:, er score: 1407.9710998535156
The 44-th AutoFormerSub arch:, er score: 1364.276382446289
The 45-th AutoFormerSub arch:, er score: 1362.0789947509766
The 46-th AutoFormerSub arch:, er score: 1308.4464721679688
The 47-th AutoFormerSub arch:, er score: 1309.9541778564453
The 48-th AutoFormerSub arch:, er score: 1510.167984008789
The 49-th AutoFormerSub arch:, er score: 1265.4326553344727
The 50-th AutoFormerSub arch:, er score: 1405.0056533813477
The 51-th AutoFormerSub arch:, er score: 1463.8282775878906
The 52-th AutoFormerSub arch:, er score: 1310.9208679199219
The 53-th AutoFormerSub arch:, er score: 1216.7245178222656
The 54-th AutoFormerSub arch:, er score: 1508.804100036621
