save_dir            : ./work_dirs/rank/AutoFormerSub/cifar100/kd
gt_path             : ./gt_results/gt_autoformer_2.pth
refer_cfg           : ./configs/auto/autoformer/autoformer-ti-subnet_c100_kd.yaml
other_zc            : er
ds                  : cifar100
acc_type            : kd
Build er ....
The 0-th AutoFormerSub arch:, er score: 1412.1757507324219
The 1-th AutoFormerSub arch:, er score: 1499.0567474365234
The 2-th AutoFormerSub arch:, er score: 1364.2031021118164
The 3-th AutoFormerSub arch:, er score: 1405.151222229004
The 4-th AutoFormerSub arch:, er score: 1267.6000366210938
The 5-th AutoFormerSub arch:, er score: 1496.874496459961
The 6-th AutoFormerSub arch:, er score: 1222.1484069824219
The 7-th AutoFormerSub arch:, er score: 1401.4305267333984
The 8-th AutoFormerSub arch:, er score: 1302.0570983886719
The 9-th AutoFormerSub arch:, er score: 1309.8912734985352
The 10-th AutoFormerSub arch:, er score: 1212.8908920288086
The 11-th AutoFormerSub arch:, er score: 1311.9228820800781
The 12-th AutoFormerSub arch:, er score: 1313.1671295166016
The 13-th AutoFormerSub arch:, er score: 1407.1484832763672
The 14-th AutoFormerSub arch:, er score: 1504.7462539672852
The 15-th AutoFormerSub arch:, er score: 1313.5796966552734
The 16-th AutoFormerSub arch:, er score: 1398.3418426513672
The 17-th AutoFormerSub arch:, er score: 1405.9226531982422
The 18-th AutoFormerSub arch:, er score: 1220.0366134643555
The 19-th AutoFormerSub arch:, er score: 1411.000862121582
The 20-th AutoFormerSub arch:, er score: 1306.5778198242188
The 21-th AutoFormerSub arch:, er score: 1302.4762649536133
The 22-th AutoFormerSub arch:, er score: 1219.2108001708984
The 23-th AutoFormerSub arch:, er score: 1314.4621887207031
The 24-th AutoFormerSub arch:, er score: 1405.8503112792969
The 25-th AutoFormerSub arch:, er score: 1408.8296203613281
The 26-th AutoFormerSub arch:, er score: 1465.0404663085938
The 27-th AutoFormerSub arch:, er score: 1222.9584274291992
The 28-th AutoFormerSub arch:, er score: 1409.4102249145508
The 29-th AutoFormerSub arch:, er score: 1411.4901809692383
The 30-th AutoFormerSub arch:, er score: 1215.7027587890625
The 31-th AutoFormerSub arch:, er score: 1314.7357864379883
The 32-th AutoFormerSub arch:, er score: 1269.5034866333008
The 33-th AutoFormerSub arch:, er score: 1302.025650024414
The 34-th AutoFormerSub arch:, er score: 1306.7978439331055
The 35-th AutoFormerSub arch:, er score: 1407.167137145996
The 36-th AutoFormerSub arch:, er score: 1314.3838348388672
The 37-th AutoFormerSub arch:, er score: 1266.7078094482422
The 38-th AutoFormerSub arch:, er score: 1305.3058776855469
The 39-th AutoFormerSub arch:, er score: 1268.7087631225586
The 40-th AutoFormerSub arch:, er score: 1410.5132217407227
The 41-th AutoFormerSub arch:, er score: 1219.1391677856445
The 42-th AutoFormerSub arch:, er score: 1312.4257049560547
The 43-th AutoFormerSub arch:, er score: 1406.4623947143555
The 44-th AutoFormerSub arch:, er score: 1366.5590515136719
The 45-th AutoFormerSub arch:, er score: 1367.795066833496
The 46-th AutoFormerSub arch:, er score: 1313.313362121582
The 47-th AutoFormerSub arch:, er score: 1311.9564590454102
The 48-th AutoFormerSub arch:, er score: 1507.6486282348633
The 49-th AutoFormerSub arch:, er score: 1180.3352890014648
The 50-th AutoFormerSub arch:, er score: 1403.6530151367188
The 51-th AutoFormerSub arch:, er score: 1458.5931091308594
The 52-th AutoFormerSub arch:, er score: 1308.249771118164
The 53-th AutoFormerSub arch:, er score: 1213.8737182617188
The 54-th AutoFormerSub arch:, er score: 1512.9521942138672
The 55-th AutoFormerSub arch:, er score: 1467.1813049316406
The 56-th AutoFormerSub arch:, er score: 1509.5266723632812
The 57-th AutoFormerSub arch:, er score: 1222.7592849731445
The 58-th AutoFormerSub arch:, er score: 1462.220603942871
The 59-th AutoFormerSub arch:, er score: 1505.808479309082
The 60-th AutoFormerSub arch:, er score: 1409.5751266479492
The 61-th AutoFormerSub arch:, er score: 1268.9913711547852
The 62-th AutoFormerSub arch:, er score: 1364.3694915771484
The 63-th AutoFormerSub arch:, er score: 1261.7691116333008
The 64-th AutoFormerSub arch:, er score: 1405.2182540893555
The 65-th AutoFormerSub arch:, er score: 1406.7069702148438
The 66-th AutoFormerSub arch:, er score: 1364.683120727539
The 67-th AutoFormerSub arch:, er score: 1306.488899230957
The 68-th AutoFormerSub arch:, er score: 1414.3837356567383
The 69-th AutoFormerSub arch:, er score: 1305.5265808105469
The 70-th AutoFormerSub arch:, er score: 1402.0130081176758
The 71-th AutoFormerSub arch:, er score: 1313.2130279541016
The 72-th AutoFormerSub arch:, er score: 1314.2308731079102
The 73-th AutoFormerSub arch:, er score: 1508.6423645019531
The 74-th AutoFormerSub arch:, er score: 1503.9107208251953
The 75-th AutoFormerSub arch:, er score: 1300.681022644043
The 76-th AutoFormerSub arch:, er score: 1312.3499145507812
The 77-th AutoFormerSub arch:, er score: 1509.862403869629
The 78-th AutoFormerSub arch:, er score: 1359.8144454956055
The 79-th AutoFormerSub arch:, er score: 1223.3780899047852
The 80-th AutoFormerSub arch:, er score: 1265.1234817504883
The 81-th AutoFormerSub arch:, er score: 1312.6925659179688
The 82-th AutoFormerSub arch:, er score: 1313.5453796386719
The 83-th AutoFormerSub arch:, er score: 1406.0865097045898
The 84-th AutoFormerSub arch:, er score: 1313.1043701171875
The 85-th AutoFormerSub arch:, er score: 1306.7123947143555
The 86-th AutoFormerSub arch:, er score: 1457.4365463256836
The 87-th AutoFormerSub arch:, er score: 1460.4770202636719
The 88-th AutoFormerSub arch:, er score: 1301.8858337402344
The 89-th AutoFormerSub arch:, er score: 1460.3206405639648
The 90-th AutoFormerSub arch:, er score: 1312.687515258789
The 91-th AutoFormerSub arch:, er score: 1309.7477264404297
The 92-th AutoFormerSub arch:, er score: 1461.8476181030273
The 93-th AutoFormerSub arch:, er score: 1264.5961227416992
The 94-th AutoFormerSub arch:, er score: 1304.3550415039062
The 95-th AutoFormerSub arch:, er score: 1308.4342956542969
The 96-th AutoFormerSub arch:, er score: 1315.2114181518555
The 97-th AutoFormerSub arch:, er score: 1216.4311981201172
The 98-th AutoFormerSub arch:, er score: 1399.9380950927734
The 99-th AutoFormerSub arch:, er score: 1216.4603805541992
Rank consistency on dataset cifar100: kendall: 0.7880264702729506, spearman: 0.939562599916025, pearson: 0.9158936222190667
Finished, time cost: 0.1228727955950631 hour.
