save_dir            : ./work_dirs/rank/AutoFormerSub/cifar100/kd
gt_path             : ./gt_results/gt_autoformer_2.pth
refer_cfg           : ./configs/auto/autoformer/autoformer-ti-subnet_c100_kd.yaml
other_zc            : er
ds                  : cifar100
acc_type            : kd
Build er ....
The 0-th AutoFormerSub arch:, er score: 1410.5117874145508
The 1-th AutoFormerSub arch:, er score: 1506.516845703125
The 2-th AutoFormerSub arch:, er score: 1361.284812927246
The 3-th AutoFormerSub arch:, er score: 1408.573112487793
The 4-th AutoFormerSub arch:, er score: 1264.2967529296875
The 5-th AutoFormerSub arch:, er score: 1498.4787826538086
The 6-th AutoFormerSub arch:, er score: 1219.5472564697266
The 7-th AutoFormerSub arch:, er score: 1406.1271057128906
The 8-th AutoFormerSub arch:, er score: 1301.4284591674805
The 9-th AutoFormerSub arch:, er score: 1310.9726181030273
The 10-th AutoFormerSub arch:, er score: 1216.7857666015625
The 11-th AutoFormerSub arch:, er score: 1311.8493270874023
The 12-th AutoFormerSub arch:, er score: 1313.7586669921875
The 13-th AutoFormerSub arch:, er score: 1407.7296447753906
The 14-th AutoFormerSub arch:, er score: 1503.5854721069336
The 15-th AutoFormerSub arch:, er score: 1308.9033813476562
The 16-th AutoFormerSub arch:, er score: 1399.4069137573242
The 17-th AutoFormerSub arch:, er score: 1404.477897644043
The 18-th AutoFormerSub arch:, er score: 1219.145492553711
The 19-th AutoFormerSub arch:, er score: 1414.5594863891602
The 20-th AutoFormerSub arch:, er score: 1310.0189590454102
The 21-th AutoFormerSub arch:, er score: 1304.248191833496
The 22-th AutoFormerSub arch:, er score: 1218.5596389770508
The 23-th AutoFormerSub arch:, er score: 1313.677635192871
The 24-th AutoFormerSub arch:, er score: 1398.4328689575195
The 25-th AutoFormerSub arch:, er score: 1414.1900482177734
The 26-th AutoFormerSub arch:, er score: 1463.0641632080078
The 27-th AutoFormerSub arch:, er score: 1216.277717590332
The 28-th AutoFormerSub arch:, er score: 1407.9511489868164
The 29-th AutoFormerSub arch:, er score: 1410.8788375854492
The 30-th AutoFormerSub arch:, er score: 1221.6007385253906
The 31-th AutoFormerSub arch:, er score: 1314.7552337646484
The 32-th AutoFormerSub arch:, er score: 1268.3397064208984
The 33-th AutoFormerSub arch:, er score: 1303.9180908203125
The 34-th AutoFormerSub arch:, er score: 1304.1458740234375
The 35-th AutoFormerSub arch:, er score: 1411.022315979004
The 36-th AutoFormerSub arch:, er score: 1312.7276611328125
The 37-th AutoFormerSub arch:, er score: 1269.2809524536133
The 38-th AutoFormerSub arch:, er score: 1305.4757614135742
The 39-th AutoFormerSub arch:, er score: 1268.1728744506836
The 40-th AutoFormerSub arch:, er score: 1409.6326599121094
The 41-th AutoFormerSub arch:, er score: 1215.7521286010742
The 42-th AutoFormerSub arch:, er score: 1310.455680847168
The 43-th AutoFormerSub arch:, er score: 1402.2091445922852
The 44-th AutoFormerSub arch:, er score: 1363.7126159667969
The 45-th AutoFormerSub arch:, er score: 1366.5583038330078
The 46-th AutoFormerSub arch:, er score: 1310.9663619995117
The 47-th AutoFormerSub arch:, er score: 1305.7995986938477
The 48-th AutoFormerSub arch:, er score: 1511.338523864746
The 49-th AutoFormerSub arch:, er score: 1268.7779159545898
The 50-th AutoFormerSub arch:, er score: 1410.8569564819336
The 51-th AutoFormerSub arch:, er score: 1467.7240676879883
The 52-th AutoFormerSub arch:, er score: 1308.572006225586
The 53-th AutoFormerSub arch:, er score: 1218.9789123535156
The 54-th AutoFormerSub arch:, er score: 1508.2677383422852
The 55-th AutoFormerSub arch:, er score: 1462.1873168945312
The 56-th AutoFormerSub arch:, er score: 1505.3188552856445
The 57-th AutoFormerSub arch:, er score: 1219.5339889526367
The 58-th AutoFormerSub arch:, er score: 1463.1526641845703
The 59-th AutoFormerSub arch:, er score: 1509.3324127197266
The 60-th AutoFormerSub arch:, er score: 1408.560890197754
The 61-th AutoFormerSub arch:, er score: 1265.9319305419922
The 62-th AutoFormerSub arch:, er score: 1365.4924087524414
The 63-th AutoFormerSub arch:, er score: 1267.0714645385742
The 64-th AutoFormerSub arch:, er score: 1410.803596496582
The 65-th AutoFormerSub arch:, er score: 1315.9629440307617
The 66-th AutoFormerSub arch:, er score: 1369.5513076782227
The 67-th AutoFormerSub arch:, er score: 1302.6502151489258
The 68-th AutoFormerSub arch:, er score: 1415.2608642578125
The 69-th AutoFormerSub arch:, er score: 1306.056411743164
The 70-th AutoFormerSub arch:, er score: 1405.2057037353516
The 71-th AutoFormerSub arch:, er score: 1312.8020248413086
The 72-th AutoFormerSub arch:, er score: 1314.1182327270508
The 73-th AutoFormerSub arch:, er score: 1505.7791900634766
The 74-th AutoFormerSub arch:, er score: 1506.3737564086914
The 75-th AutoFormerSub arch:, er score: 1303.9321594238281
The 76-th AutoFormerSub arch:, er score: 1311.7212677001953
The 77-th AutoFormerSub arch:, er score: 1509.4131774902344
The 78-th AutoFormerSub arch:, er score: 1361.630874633789
The 79-th AutoFormerSub arch:, er score: 1216.762062072754
The 80-th AutoFormerSub arch:, er score: 1268.7417373657227
The 81-th AutoFormerSub arch:, er score: 1309.1601333618164
The 82-th AutoFormerSub arch:, er score: 1318.4679260253906
The 83-th AutoFormerSub arch:, er score: 1405.0762634277344
The 84-th AutoFormerSub arch:, er score: 1316.5058212280273
The 85-th AutoFormerSub arch:, er score: 1307.7204284667969
The 86-th AutoFormerSub arch:, er score: 1457.4326782226562
The 87-th AutoFormerSub arch:, er score: 1465.5959243774414
The 88-th AutoFormerSub arch:, er score: 1301.8759155273438
The 89-th AutoFormerSub arch:, er score: 1460.6077499389648
The 90-th AutoFormerSub arch:, er score: 1308.265769958496
The 91-th AutoFormerSub arch:, er score: 1306.4477615356445
The 92-th AutoFormerSub arch:, er score: 1461.016357421875
The 93-th AutoFormerSub arch:, er score: 1262.2988662719727
The 94-th AutoFormerSub arch:, er score: 1306.7337265014648
The 95-th AutoFormerSub arch:, er score: 1309.6017227172852
The 96-th AutoFormerSub arch:, er score: 1312.0435791015625
The 97-th AutoFormerSub arch:, er score: 1218.1440811157227
The 98-th AutoFormerSub arch:, er score: 1402.2560729980469
The 99-th AutoFormerSub arch:, er score: 1217.746841430664
Rank consistency on dataset cifar100: kendall: 0.8102756775958522, spearman: 0.9498600312668151, pearson: 0.9113910554946025
Finished, time cost: 0.1581999933719635 hour.
